sigungu,2016,2017,2018,2019,2020,2021
청주시 서원구,217120,216782,209404,203209,194720,192899
청주시 청원구,190813,193767,197225,195868,194373,194327
청주시 상당구,173701,171129,176818,178352,190034,193827
청주시 흥덕구,253563,253912,254302,262137,265866,267429
충주시,208350,208316,210504,210737,210186,209358
제천시,136517,136432,135386,134617,133018,131591
보은군,34221,34053,33680,32949,32412,31878
옥천군,52267,51766,51465,51023,50527,50093
영동군,50552,50240,49715,48738,47475,45773
증평군,37308,37783,37317,37392,36807,36426
진천군,69950,73677,78218,81084,83718,85176
괴산군,38973,39054,39133,39163,39393,38122
음성군,97787,97306,95830,94982,93153,92197
단양군,30503,30215,30255,29756,29155,28331
당진시,166630,167439,167770,167042,166249,167092
천안시 동남구,258919,255878,257978,259411,258009,255292
천안시 서북구,359036,375653,388097,392847,400799,403194
공주시,109931,108432,107581,106474,104545,103145
보령시,103873,103198,101990,101114,100229,98408
아산시,302929,311453,312822,314395,316129,324580
서산시,170788,171678,174162,174690,175591,176645
논산시,123213,122240,120230,118842,116675,114483
계룡시,42634,43967,43731,42971,42822,43331
금산군,54612,53894,53222,52257,51413,50477
부여군,70187,69086,68078,66740,65354,63774
서천군,56012,55175,53922,52805,51866,50745
청양군,32753,32837,32296,31717,30948,30440
홍성군,99971,101570,101082,100423,100102,99324
예산군,81339,80338,80083,79238,78084,76801
태안군,63900,63932,63238,62743,62214,61526
전주시 완산구,361845,359012,345065,338839,339718,335804
전주시 덕진구,289899,289952,306026,315555,317714,321465
군산시,277551,274997,272645,270131,267859,265304
익산시,300479,300187,294062,287771,282276,278113
정읍시,115173,113776,112169,110541,108508,106487
남원시,84188,83281,82554,81441,80662,79431
김제시,87782,86926,85331,83895,82450,80913
완주군,95480,95975,94444,92220,91609,91142
진안군,26069,26271,25963,25697,25394,24987
무주군,24949,24809,24589,24303,24036,23748
장수군,23628,23003,23221,22441,22085,21695
임실군,30197,30162,30072,28902,27314,26730
순창군,29949,29698,29209,28382,27810,26855
고창군,60597,60472,57041,55504,54529,53386
부안군,57005,56086,54441,53295,52140,50795
목포시,237739,234379,232327,229861,224044,218589
여수시,288988,286382,283300,282786,280242,276762
순천시,278548,279331,279389,279598,282189,281436
나주시,104376,110110,113839,114664,115613,116726
광양시,155580,155857,156564,156750,151769,150531
담양군,47229,47285,46917,46535,46280,46180
곡성군,30400,30131,29624,28887,28039,27535
구례군,27412,27525,27117,26563,25719,25235
고흥군,67656,66736,65777,64913,63922,62762
보성군,44469,43755,42803,41420,40482,39375
화순군,65303,64680,63933,62737,62522,62624
장흥군,40669,40136,39312,38563,37800,36547
강진군,37753,36868,36144,35286,34597,33753
해남군,75121,73604,71901,70354,68806,67166
영암군,57045,55616,54731,54593,53699,52937
무안군,82109,82872,81991,81105,86132,91107
함평군,34397,34328,33420,32861,32050,31274
영광군,55618,54774,54127,53852,53099,51985
장성군,46104,46111,45795,45739,44464,43365
완도군,52668,52109,51477,50689,49916,48631
진도군,32078,31765,31219,30715,31227,30066
신안군,42652,42070,41263,40274,38938,38217
포항시 남구,244748,242469,239400,235633,230422,230801
포항시 북구,272027,271363,270613,271392,272494,273051
경주시,259452,257903,256864,255402,253502,251889
김천시,142256,142908,141104,141229,140548,140239
안동시,168798,166272,162180,160052,158907,156972
구미시,419891,421799,421494,419742,416328,412581
영주시,109247,108371,106801,105067,103119,101942
영천시,100521,100615,101595,102470,102015,101888
상주시,101799,100947,100297,100688,97228,95566
문경시,74702,73294,71874,72242,71406,71154
경산시,258037,259485,261093,263185,263728,268369
군위군,24171,24215,23919,23843,23256,22945
의성군,54014,53474,52944,52595,51724,50632
청송군,26301,26006,25678,25416,25044,24539
영양군,17713,17479,17356,16993,16692,16320
영덕군,39052,38529,38108,37361,36313,35314
청도군,43564,43346,43057,42910,42263,41891
고령군,34257,33768,32969,32373,31361,30626
성주군,45205,45138,44672,44015,43414,42842
칠곡군,123199,120864,118828,117047,114758,113822
예천군,46166,49253,53274,55100,55613,55739
봉화군,33539,33259,32843,32150,31494,30762
울진군,51738,50974,50036,49314,48716,47858
울릉군,10001,9975,9832,9617,9077,8867
창원시 의창구,252435,253349,252896,258582,262408,218027
창원시 성산구,231571,227942,227337,220945,214570,251562
창원시 마산합포구,181797,181917,180535,177784,175716,181322
창원시 마산회원구,210791,203926,199457,193807,191289,186881
창원시 진해구,187313,189898,193376,193622,192755,194949
진주시,346739,346681,345987,347334,348096,347097
통영시,138160,135833,133720,131404,128293,125383
사천시,114912,114252,113888,111925,111105,109953
김해시,529422,532132,533672,542455,542338,537673
밀양시,108354,107898,106744,105552,104831,103525
거제시,257183,254073,250516,248276,245754,241216
양산시,317037,338535,348639,350759,352229,354726
의령군,28111,27849,27667,27168,26800,26322
함안군,68937,68207,67025,65700,64182,62547
창녕군,63982,64101,63396,62331,61301,60129
고성군,54703,54060,53243,52276,51361,50478
남해군,45129,44642,43990,43622,42958,42266
하동군,49622,48831,47533,46574,44785,43449
산청군,36098,36340,35952,35417,34857,34360
함양군,40241,40175,40044,39637,39080,38310
거창군,63308,62763,62455,62179,61502,61073
합천군,48026,47000,45916,45204,44006,42935
