"행정구역별(시군)",2021.1/2,2021.1/2,2021.1/2,2021.2/2,2021.2/2,2021.2/2,2022.1/2,2022.1/2,2022.1/2
"부산 중구",56.8,7.9,25.6,59.1,8.6,24.8,59.4,8.6,25.6
"부산 서구",51.6,7.5,21.1,54.3,9.1,21.2,54.3,9.8,19.9
"부산 동구",56.7,6.2,24.2,63.2,7.7,26.1,67.4,7.0,28.8
"부산 영도구",43.0,5.3,15.3,46.3,6.3,16.2,46.8,5.5,15.9
"부산 부산진구",169.0,28.6,67.2,164.0,26.5,64.2,161.3,26.4,62.8
"부산 동래구",89.9,11.5,37.3,97.0,14.2,40.2,97.2,15.7,39.1
"부산 남구",90.3,11.9,36.3,94.7,13.6,34.8,97.5,15.7,36.6
"부산 북구",65.3,8.8,24.7,67.5,10.0,24.9,66.9,9.4,24.9
"부산 해운대구",162.7,26.1,72.4,162.9,27.1,70.0,166.9,26.2,74.8
"부산 사하구",129.0,15.2,53.9,124.8,12.1,51.2,125.5,12.9,49.7
"부산 금정구",86.0,12.1,33.6,96.3,14.6,37.0,92.4,14.9,33.8
"부산 강서구",146.0,17.9,78.6,151.8,17.1,79.1,157.4,17.3,79.7
"부산 연제구",88.2,10.8,36.3,95.5,9.3,40.8,94.6,11.7,38.6
"부산 수영구",53.2,7.3,22.9,52.2,5.3,23.8,54.4,7.2,23.0
"부산 사상구",123.3,12.6,49.6,127.4,13.8,50.5,125.1,13.3,48.1
"부산 기장군",78.1,8.2,37.0,82.7,10.3,38.2,83.4,11.4,37.2
"대구 중구",90.0,15.7,36.8,91.8,17.3,36.0,91.1,16.2,36.1
"대구 동구",145.3,20.5,57.3,145.9,22.8,56.0,148.4,22.6,57.5
"대구 서구",75.8,7.2,28.5,78.2,6.3,29.3,80.3,7.2,30.4
"대구 남구",59.0,9.0,22.8,60.7,9.6,22.2,63.5,10.6,25.0
"대구 북구",178.8,22.6,80.1,176.1,20.7,79.2,175.7,20.4,76.3
"대구 수성구",142.0,19.3,61.9,147.3,19.3,65.2,151.1,19.9,66.2
"대구 달서구",238.6,34.9,104.3,245.3,36.8,106.4,243.0,37.3,105.3
"대구 달성군",113.0,10.9,48.9,122.5,12.2,52.9,123.7,12.7,53.3
"인천 중구",133.8,15.1,66.6,135.0,17.2,65.3,135.9,15.9,69.2
"인천 동구",37.9,2.9,13.0,37.8,3.2,13.8,37.3,2.5,14.4
"인천 연수구",141.9,24.4,64.5,155.3,27.5,69.5,156.2,28.0,67.9
"인천 남동구",262.4,34.2,110.7,263.8,34.0,110.8,266.6,33.9,111.0
"인천 부평구",193.1,27.6,76.9,187.1,21.7,72.3,191.1,25.5,72.9
"인천 계양구",95.9,10.3,38.8,92.4,9.8,34.8,96.6,10.9,38.7
"인천 서구",258.3,33.1,119.3,268.6,32.6,122.3,273.6,30.8,126.8
"인천 미추홀구",153.4,22.6,59.5,152.9,20.1,59.2,150.3,18.9,56.7
"인천 강화군",38.9,2.2,9.7,39.4,2.3,9.0,39.5,2.8,9.3
"인천 옹진군",12.6,0.9,3.5,14.1,0.9,4.6,14.0,1.4,4.5
"광주 동구",72.5,13.6,26.4,71.8,13.7,27.5,74.0,14.9,25.6
"광주 서구",159.4,19.0,72.9,161.8,21.1,69.4,160.6,22.1,72.8
"광주 남구",66.5,9.9,25.7,65.6,8.4,24.7,70.1,9.8,25.2
"광주 북구",169.0,22.6,72.9,169.9,22.5,72.4,173.5,23.0,72.6
"광주 광산구",199.6,30.4,96.9,206.7,29.1,99.5,203.0,30.3,96.2
"대전 동구",85.3,10.5,35.1,91.1,9.8,37.1,93.7,13.2,36.4
"대전 중구",106.7,16.3,41.2,111.3,17.4,40.9,105.8,17.8,38.4
"대전 서구",204.6,36.1,94.1,206.0,35.3,92.1,199.5,33.9,88.1
"대전 유성구",194.5,39.0,92.3,197.3,38.7,96.6,200.0,38.6,96.1
"대전 대덕구",110.8,14.2,48.8,114.1,14.3,50.2,115.3,14.0,50.8
"울산 중구",59.9,6.6,25.9,61.4,5.6,28.0,62.4,8.1,25.5
"울산 남구",172.8,20.3,80.5,171.1,22.8,74.2,173.2,23.5,72.3
"울산 동구",76.2,6.6,38.5,78.5,6.3,39.1,79.5,6.1,38.5
"울산 북구",116.4,14.2,52.3,121.7,16.4,53.4,118.9,14.2,55.2
"울산 울주군",126.8,12.3,58.5,130.7,11.0,59.3,131.2,12.4,60.4
"수원시",485.6,78.0,228.2,512.5,75.4,248.9,514.2,84.3,240.3
"성남시",526.5,90.9,259.3,542.1,96.1,259.3,547.3,86.8,267.4
"의정부시",146.6,17.4,64.4,148.4,21.0,60.9,149.3,23.2,62.0
"안양시",255.2,36.9,112.3,254.4,40.5,107.7,251.2,38.9,109.2
"부천시",329.3,45.4,139.7,324.9,43.5,138.9,327.1,43.3,137.0
"광명시",103.8,12.1,42.7,110.1,10.4,45.2,113.9,12.3,45.6
"평택시",316.2,46.2,155.9,326.5,46.0,163.5,360.3,52.4,178.5
"동두천시",33.4,2.5,14.9,32.6,2.7,12.3,35.2,3.9,13.3
"안산시",358.1,49.8,166.2,376.8,52.4,165.0,369.9,54.9,164.6
"고양시",385.0,61.4,165.4,410.7,60.6,177.2,417.6,61.4,184.3
"과천시",37.9,5.2,18.3,42.4,5.5,18.2,40.1,4.2,16.4
"구리시",74.8,9.8,29.7,73.3,7.1,30.0,74.0,8.6,28.1
"남양주시",255.1,29.6,114.8,270.0,30.7,118.2,269.5,30.1,113.7
"오산시",89.9,12.9,43.3,86.7,9.6,42.7,88.9,12.1,42.2
"시흥시",264.1,31.7,119.3,276.5,34.7,124.8,283.6,32.1,126.9
"군포시",104.8,14.0,48.7,99.6,12.9,45.1,107.3,14.3,45.6
"의왕시",59.4,5.9,29.3,63.1,6.7,29.5,59.2,5.1,28.2
"하남시",135.5,18.8,63.7,140.9,17.2,62.7,146.6,18.4,64.1
"용인시",398.0,58.4,188.6,417.1,67.1,187.5,429.5,65.2,193.5
"파주시",237.5,23.7,116.5,241.2,27.3,115.7,256.4,29.7,118.6
"이천시",158.5,24.9,73.1,166.3,27.7,74.2,165.9,23.0,77.0
"안성시",128.6,18.0,53.9,135.5,18.4,58.3,135.6,17.1,58.8
"김포시",222.2,21.6,104.0,234.8,23.7,108.4,238.9,26.9,106.4
"화성시",556.9,84.1,282.3,574.9,81.6,281.0,588.1,77.4,291.5
"광주시",183.1,22.3,76.9,179.0,19.9,75.4,178.9,20.5,74.1
"양주시",114.0,13.0,43.9,125.3,12.0,49.8,121.2,11.4,47.7
"포천시",117.5,13.9,44.9,118.1,14.1,42.7,115.8,13.3,40.7
"여주시",67.7,8.5,24.9,71.0,9.7,24.9,70.5,7.7,25.7
"연천군",24.4,2.3,8.0,25.2,2.6,8.5,25.0,2.2,7.6
"가평군",34.5,2.3,11.1,34.6,2.2,11.0,35.1,1.8,10.7
"양평군",60.2,4.8,18.6,59.8,5.2,18.5,61.9,6.0,19.2
"춘천시",137.0,19.9,55.6,141.3,21.9,55.1,139.5,21.3,56.7
"원주시",181.1,23.4,74.8,178.3,24.7,71.5,176.2,21.2,71.0
"강릉시",112.7,14.6,41.0,118.2,15.2,41.9,117.9,14.2,41.7
"동해시",42.4,3.2,15.2,42.8,3.2,15.5,42.9,3.1,14.4
"태백시",19.5,1.1,6.7,19.6,1.4,6.2,18.9,1.2,6.1
"속초시",39.1,3.5,13.8,39.7,3.3,13.3,41.2,4.6,13.2
"삼척시",36.4,3.2,10.9,36.7,3.4,11.0,37.7,3.3,11.2
"홍천군",42.2,3.5,11.8,43.8,3.3,11.9,44.5,3.5,10.9
"횡성군",29.4,1.3,8.3,31.4,2.1,8.6,32.4,1.8,8.7
"영월군",23.8,1.4,6.1,23.1,1.3,5.8,23.4,1.3,5.7
"평창군",27.4,1.6,8.0,27.6,1.5,7.8,29.2,1.7,7.7
"정선군",24.3,1.2,8.5,24.3,1.3,7.9,24.9,1.1,8.4
"철원군",21.2,1.0,6.2,22.1,1.2,6.5,22.3,1.8,6.0
"화천군",13.6,1.1,3.9,14.2,1.0,4.0,14.6,1.2,3.7
"양구군",13.8,1.2,4.5,13.0,1.1,4.2,12.1,0.9,3.3
"인제군",17.9,1.3,5.6,18.0,1.2,5.5,17.7,1.6,5.0
"고성군",17.7,2.1,4.3,18.7,2.6,4.9,18.9,2.3,4.7
"양양군",18.4,1.2,5.4,19.0,1.4,5.6,18.3,1.3,5.1
"청주시",425.1,70.9,193.0,438.9,72.1,197.7,452.5,75.9,195.3
"충주시",117.0,11.2,44.3,120.5,12.6,42.1,121.5,11.5,43.7
"제천시",67.2,7.2,22.0,69.2,7.0,22.8,68.0,7.3,21.6
"보은군",24.8,2.6,5.8,23.8,2.4,5.4,23.1,1.8,5.7
"옥천군",34.7,2.7,10.5,35.7,2.7,11.1,35.7,2.5,11.0
"영동군",28.1,1.5,7.6,27.2,1.5,7.3,28.3,2.0,6.6
"진천군",62.4,8.6,26.6,64.8,9.8,25.6,65.0,8.8,27.9
"괴산군",27.3,2.4,6.4,27.4,2.0,6.2,28.0,1.9,6.8
"음성군",83.8,13.3,33.8,84.7,11.7,34.4,87.7,11.7,36.8
"단양군",18.6,1.3,5.1,18.4,1.3,4.5,18.3,1.1,4.4
"증평군",18.3,2.2,6.8,19.0,1.8,7.6,17.8,1.8,7.0
"천안시",353.0,57.6,163.8,361.0,60.7,165.6,362.9,59.6,162.9
"공주시",68.4,6.9,23.8,71.8,6.8,25.0,75.1,8.2,26.0
"보령시",56.2,4.7,19.6,56.8,5.2,19.9,59.3,5.9,18.8
"아산시",203.5,30.7,101.7,201.7,25.9,105.6,210.3,30.8,105.1
"서산시",101.4,11.7,38.4,102.8,12.0,37.8,102.1,10.0,38.0
"논산시",75.4,7.2,26.6,77.0,7.3,25.7,74.9,7.1,25.4
"계룡시",16.5,1.5,6.7,15.7,1.4,6.2,16.7,1.8,6.6
"당진시",107.7,10.4,44.6,109.9,10.7,45.1,108.7,9.7,44.4
"금산군",42.5,4.2,12.7,42.5,4.1,12.3,43.6,3.9,13.2
"부여군",40.1,3.2,9.1,39.1,3.2,8.8,41.0,3.2,9.0
"서천군",35.9,2.1,10.4,35.9,2.9,9.7,34.0,2.3,9.0
"청양군",23.6,1.9,5.7,24.1,2.4,5.8,24.0,1.8,6.0
"홍성군",59.2,5.4,19.7,59.6,5.7,19.6,60.2,6.5,20.0
"예산군",48.5,3.4,14.0,48.9,3.7,14.0,50.4,4.1,14.9
