,SIG_CD,SIG_KOR_NM,지역,시군구,코드,행정구역별,구분
0,26170,동구,부산,동구,2103.0,부산 동구,감소
1,26140,서구,부산,서구,2102.0,부산 서구,감소
2,27170,서구,대구,서구,2203.0,대구 서구,감소
3,26200,영도구,부산,영도구,2104.0,부산 영도구,감소
4,27200,남구,대구,남구,2204.0,대구 남구,감소
5,28710,강화군,인천,강화군,2331.0,인천 강화군,감소
6,28720,옹진군,인천,옹진군,2332.0,인천 옹진군,감소
7,41820,가평군,경기,가평군,3137.0,가평군,감소
8,41800,연천군,경기,연천군,3135.0,연천군,감소
9,42820,고성군,강원,고성군,3240.0,강원 고성군,감소
10,48820,고성군,경남,고성군,3834.0,경남 고성군,감소
11,42230,삼척시,강원,삼척시,3207.0,삼척시,감소
12,42800,양구군,강원,양구군,3238.0,양구군,감소
13,42830,양양군,강원,양양군,3241.0,양양군,감소
14,42750,영월군,강원,영월군,3233.0,영월군,감소
15,42770,정선군,강원,정선군,3235.0,정선군,감소
16,42780,철원군,강원,철원군,3236.0,철원군,감소
17,42190,태백시,강원,태백시,3205.0,태백시,감소
18,42760,평창군,강원,평창군,3234.0,평창군,감소
19,42720,홍천군,강원,홍천군,3231.0,홍천군,감소
20,42790,화천군,강원,화천군,3237.0,화천군,감소
21,42730,횡성군,강원,횡성군,3232.0,횡성군,감소
22,43760,괴산군,충북,괴산군,3336.0,괴산군,감소
23,43800,단양군,충북,단양군,3338.0,단양군,감소
24,43720,보은군,충북,보은군,3332.0,보은군,감소
25,43740,영동군,충북,영동군,3334.0,영동군,감소
26,43730,옥천군,충북,옥천군,3333.0,옥천군,감소
27,43150,제천시,충북,제천시,3303.0,제천시,감소
28,44150,공주시,충남,공주시,3402.0,공주시,감소
29,44710,금산군,충남,금산군,3431.0,금산군,감소
30,44230,논산시,충남,논산시,3406.0,논산시,감소
31,44180,보령시,충남,보령시,3403.0,보령시,감소
32,44760,부여군,충남,부여군,3433.0,부여군,감소
33,44770,서천군,충남,서천군,3434.0,서천군,감소
34,44810,예산군,충남,예산군,3437.0,예산군,감소
35,44790,청양군,충남,청양군,3435.0,청양군,감소
36,44825,태안군,충남,태안군,3438.0,태안군,감소
37,45790,고창군,전북,고창군,3537.0,고창군,감소
38,45210,김제시,전북,김제시,3506.0,김제시,감소
39,45190,남원시,전북,남원시,3505.0,남원시,감소
40,45730,무주군,전북,무주군,3533.0,무주군,감소
41,45800,부안군,전북,부안군,3538.0,부안군,감소
42,45770,순창군,전북,순창군,3536.0,순창군,감소
43,45750,임실군,전북,임실군,3535.0,임실군,감소
44,45740,장수군,전북,장수군,3534.0,장수군,감소
45,45180,정읍시,전북,정읍시,3504.0,정읍시,감소
46,45720,진안군,전북,진안군,3532.0,진안군,감소
47,46810,강진군,전남,강진군,3639.0,강진군,감소
48,46770,고흥군,전남,고흥군,3635.0,고흥군,감소
49,46720,곡성군,전남,곡성군,3632.0,곡성군,감소
50,46730,구례군,전남,구례군,3633.0,구례군,감소
51,46710,담양군,전남,담양군,3631.0,담양군,감소
52,46780,보성군,전남,보성군,3636.0,보성군,감소
53,46910,신안군,전남,신안군,3648.0,신안군,감소
54,46870,영광군,전남,영광군,3644.0,영광군,감소
55,46830,영암군,전남,영암군,3641.0,영암군,감소
56,46890,완도군,전남,완도군,3646.0,완도군,감소
57,46880,장성군,전남,장성군,3645.0,장성군,감소
58,46800,장흥군,전남,장흥군,3638.0,장흥군,감소
59,46900,진도군,전남,진도군,3647.0,진도군,감소
60,46860,함평군,전남,함평군,3643.0,함평군,감소
61,46820,해남군,전남,해남군,3640.0,해남군,감소
62,46790,화순군,전남,화순군,3637.0,화순군,감소
63,47830,고령군,경북,고령군,3737.0,고령군,감소
64,47720,군위군,경북,군위군,3731.0,군위군,감소
65,47280,문경시,경북,문경시,3709.0,문경시,감소
66,47920,봉화군,경북,봉화군,3741.0,봉화군,감소
67,47250,상주시,경북,상주시,3708.0,상주시,감소
68,47840,성주군,경북,성주군,3738.0,성주군,감소
69,47170,안동시,경북,안동시,3704.0,안동시,감소
70,47770,영덕군,경북,영덕군,3735.0,영덕군,감소
71,47760,영양군,경북,영양군,3734.0,영양군,감소
72,47210,영주시,경북,영주시,3706.0,영주시,감소
73,47230,영천시,경북,영천시,3707.0,영천시,감소
74,47940,울릉군,경북,울릉군,3743.0,울릉군,감소
75,47930,울진군,경북,울진군,3742.0,울진군,감소
76,47730,의성군,경북,의성군,3732.0,의성군,감소
77,47820,청도군,경북,청도군,3736.0,청도군,감소
78,47750,청송군,경북,청송군,3733.0,청송군,감소
79,48880,거창군,경남,거창군,3839.0,거창군,감소
80,48840,남해군,경남,남해군,3835.0,남해군,감소
81,48270,밀양시,경남,밀양시,3808.0,밀양시,감소
82,48860,산청군,경남,산청군,3837.0,산청군,감소
83,48720,의령군,경남,의령군,3831.0,의령군,감소
84,48740,창녕군,경남,창녕군,3833.0,창녕군,감소
85,48850,하동군,경남,하동군,3836.0,하동군,감소
86,48730,함안군,경남,함안군,3832.0,함안군,감소
87,48870,함양군,경남,함양군,3838.0,함양군,감소
88,48890,합천군,경남,합천군,3840.0,합천군,감소
