sigungu,sum_2021,청년_2021,중년_2021,장년_2021,노년_2021,경제활동인구,인구감소지수 분류,sido,pop,hp_bin,sig_cd
강원도 고성군,137.0,94.2,164.9,158.4,126.7,34.2,인구감소지역,강원도,26791.5,130.3~149,42820
강원도 삼척시,120.3,62.1,152.9,143.6,107.4,70.0,인구감소지역,강원도,65623.0,111.5~130,42230
강원도 양구군,142.2,85.6,156.4,174.6,124.6,23.4,인구감소지역,강원도,22379.0,130.3~149,42800
강원도 양양군,139.3,98.1,163.8,159.0,116.1,33.9,인구감소지역,강원도,27627.5,130.3~149,42830
강원도 영월군,132.1,64.4,158.7,156.3,114.8,43.4,인구감소지역,강원도,38345.0,130.3~149,42750
강원도 정선군,138.3,76.6,159.6,164.6,111.3,43.1,인구감소지역,강원도,36313.0,130.3~149,42770
강원도 철원군,129.5,61.3,141.8,161.2,113.1,43.6,인구감소지역,강원도,44767.5,111.5~130,42780
강원도 태백시,122.7,70.8,161.7,135.4,92.8,45.0,인구감소지역,강원도,42288.0,111.5~130,42190
강원도 평창군,143.2,81.3,173.1,166.6,117.6,50.6,인구감소지역,강원도,41489.0,130.3~149,42760
강원도 홍천군,140.9,88.2,159.4,164.5,122.5,81.7,인구감소지역,강원도,68652.0,130.3~149,42720
강원도 화천군,138.8,80.9,141.4,164.1,134.5,24.5,인구감소지역,강원도,24703.5,130.3~149,42790
강원도 횡성군,132.0,65.9,158.7,159.0,113.5,52.9,인구감소지역,강원도,46150.0,130.3~149,42730
경기도 가평군,122.1,77.2,160.7,153.9,78.5,64.9,인구감소지역,경기도,61675.0,111.5~130,41820
경기도 연천군,124.7,82.2,162.5,154.8,87.6,45.2,인구감소지역,경기도,43104.5,111.5~130,41800
경상남도 거창군,134.0,66.3,171.5,166.2,111.7,71.7,인구감소지역,경상남도,61478.0,130.3~149,48880
경상남도 고성군,133.8,63.1,163.2,159.9,116.8,61.0,인구감소지역,경상남도,51428.0,130.3~149,48820
경상남도 남해군,133.3,61.9,157.1,166.3,119.1,51.5,인구감소지역,경상남도,43004.5,130.3~149,48840
경상남도 밀양시,121.3,82.3,143.5,156.7,85.8,113.1,인구감소지역,경상남도,104300.5,111.5~130,48270
경상남도 산청군,147.3,76.1,167.2,171.9,135.1,44.7,인구감소지역,경상남도,34845.0,130.3~149,48860
경상남도 의령군,138.1,100.0,176.6,165.5,109.1,32.3,인구감소지역,경상남도,26832.0,130.3~149,48720
경상남도 창녕군,134.0,89.8,164.2,159.8,106.1,72.9,인구감소지역,경상남도,61341.5,130.3~149,48740
경상남도 하동군,140.9,75.5,163.0,167.5,120.3,51.0,인구감소지역,경상남도,45389.5,130.3~149,48850
경상남도 함안군,127.4,71.1,155.6,157.0,94.8,72.2,인구감소지역,경상남도,64502.0,111.5~130,48730
경상남도 함양군,135.1,76.6,162.3,163.0,113.8,45.8,인구감소지역,경상남도,39045.0,130.3~149,48870
경상남도 합천군,133.2,83.6,164.9,161.2,110.7,49.6,인구감소지역,경상남도,44159.5,130.3~149,48890
경상북도 고령군,137.4,102.8,162.5,163.6,108.9,37.9,인구감소지역,경상북도,31646.5,130.3~149,47830
경상북도 군위군,144.0,93.7,162.8,171.1,126.9,28.7,인구감소지역,경상북도,23384.5,130.3~149,47720
경상북도 문경시,121.3,54.4,154.3,149.6,99.2,75.9,인구감소지역,경상북도,71266.5,111.5~130,47280
경상북도 봉화군,145.7,64.0,171.3,176.9,123.6,39.1,인구감소지역,경상북도,31492.0,130.3~149,47920
경상북도 상주시,132.2,62.0,160.0,166.8,112.6,113.7,인구감소지역,경상북도,98240.5,130.3~149,47250
경상북도 성주군,137.7,105.7,153.5,175.6,102.5,50.4,인구감소지역,경상북도,43399.5,130.3~149,47840
경상북도 안동시,122.0,58.1,151.7,152.8,104.7,175.2,인구감소지역,경상북도,158634.0,111.5~130,47170
경상북도 영덕군,126.2,86.0,158.1,149.7,102.6,39.3,인구감소지역,경상북도,36484.0,111.5~130,47770
경상북도 영양군,143.1,79.1,175.8,169.6,122.4,20.7,인구감소지역,경상북도,16667.0,130.3~149,47760
경상북도 영주시,116.7,52.1,156.2,150.0,88.4,109.1,인구감소지역,경상북도,103452.0,111.5~130,47210
경상북도 영천시,133.3,81.7,153.7,156.6,117.0,121.9,인구감소지역,경상북도,101506.0,130.3~149,47230
경상북도 울릉군,168.0,144.1,175.1,173.2,161.3,11.3,인구감소지역,경상북도,9184.5,149.1~168,47940
경상북도 울진군,124.6,82.7,158.6,153.3,85.6,52.3,인구감소지역,경상북도,48710.0,111.5~130,47930
경상북도 의성군,144.3,87.7,167.5,172.0,126.3,64.4,인구감소지역,경상북도,51647.0,130.3~149,47730
경상북도 청도군,141.3,72.0,166.8,168.8,127.5,52.9,인구감소지역,경상북도,42278.5,130.3~149,47820
경상북도 청송군,157.0,94.9,176.8,177.6,143.3,33.9,인구감소지역,경상북도,25051.5,149.1~168,47750
대구광역시 남구,99.0,78.6,139.1,116.1,54.1,137.9,인구감소지역,대구광역시,145124.0,92.7~111,27200
대구광역시 서구,103.3,78.7,142.6,129.1,47.2,163.7,인구감소지역,대구광역시,170922.5,92.7~111,27170
부산광역시 동구,98.8,80.0,138.0,125.2,46.4,82.3,인구감소지역,부산광역시,86801.0,92.7~111,26170
부산광역시 서구,100.8,83.1,142.7,122.5,52.1,100.6,인구감소지역,부산광역시,105948.0,92.7~111,26140
부산광역시 영도구,92.7,66.3,136.3,118.6,49.9,99.9,인구감소지역,부산광역시,113042.5,92.7~111,26200
인천광역시 강화군,132.7,71.2,157.6,155.7,116.9,78.9,인구감소지역,인천광역시,68662.0,130.3~149,28710
인천광역시 옹진군,157.2,110.3,169.2,173.9,148.0,24.4,인구감소지역,인천광역시,20366.5,149.1~168,28720
전라남도 강진군,140.2,74.8,175.6,164.5,121.5,39.0,인구감소지역,전라남도,34647.5,130.3~149,46810
전라남도 고흥군,149.7,92.1,171.7,171.3,136.7,79.7,인구감소지역,전라남도,64022.0,149.1~168,46770
전라남도 곡성군,136.5,57.9,168.3,175.1,128.4,33.5,인구감소지역,전라남도,28267.0,130.3~149,46720
전라남도 구례군,139.0,79.4,166.2,163.2,119.7,28.6,인구감소지역,전라남도,25985.0,130.3~149,46730
전라남도 담양군,133.7,62.9,151.9,172.4,123.3,52.5,인구감소지역,전라남도,46033.5,130.3~149,46710
전라남도 보성군,143.7,63.6,173.9,166.0,134.2,47.1,인구감소지역,전라남도,40543.5,130.3~149,46780
전라남도 신안군,156.3,132.2,177.4,179.0,134.4,45.7,인구감소지역,전라남도,39200.5,149.1~168,46910
전라남도 영광군,138.5,81.8,155.9,168.2,121.7,57.8,인구감소지역,전라남도,52970.0,130.3~149,46870
전라남도 영암군,138.4,85.2,166.0,164.7,116.3,69.6,인구감소지역,전라남도,53651.0,130.3~149,46830
전라남도 완도군,133.5,103.6,162.9,153.9,105.9,54.6,인구감소지역,전라남도,50007.0,130.3~149,46890
전라남도 장성군,135.9,62.8,164.2,164.7,123.5,47.0,인구감소지역,전라남도,44714.5,130.3~149,46880
전라남도 장흥군,144.6,77.6,177.6,168.9,125.3,43.4,인구감소지역,전라남도,37858.5,130.3~149,46800
전라남도 진도군,147.1,107.9,167.3,171.4,127.2,36.9,인구감소지역,전라남도,30721.5,130.3~149,46900
전라남도 함평군,139.5,77.1,169.1,166.9,123.4,36.6,인구감소지역,전라남도,32098.0,130.3~149,46860
전라남도 해남군,147.8,93.7,171.2,175.8,126.2,81.3,인구감소지역,전라남도,68999.5,130.3~149,46820
전라남도 화순군,126.6,61.7,146.5,155.8,115.9,67.8,인구감소지역,전라남도,62181.5,111.5~130,46790
전라북도 고창군,135.7,68.3,154.7,172.7,117.0,62.3,인구감소지역,전라북도,54578.5,130.3~149,45790
전라북도 김제시,127.7,64.9,160.0,161.1,102.3,90.1,인구감소지역,전라북도,82405.0,111.5~130,45210
전라북도 남원시,133.2,67.6,163.4,163.0,110.6,90.9,인구감소지역,전라북도,80653.5,130.3~149,45190
전라북도 무주군,148.7,88.5,172.6,179.1,126.7,30.0,인구감소지역,전라북도,24068.5,130.3~149,45730
전라북도 부안군,140.2,65.6,159.7,171.1,125.1,60.1,인구감소지역,전라북도,52251.0,130.3~149,45800
전라북도 순창군,140.4,69.8,164.1,173.7,121.2,31.9,인구감소지역,전라북도,27930.0,130.3~149,45770
전라북도 임실군,145.0,76.3,154.6,173.9,136.8,31.8,인구감소지역,전라북도,27928.0,130.3~149,45750
전라북도 장수군,158.3,73.8,177.1,178.0,157.1,29.1,인구감소지역,전라북도,22158.5,149.1~168,45740
전라북도 정읍시,128.6,72.1,156.3,154.0,109.3,119.3,인구감소지역,전라북도,108474.0,111.5~130,45180
전라북도 진안군,143.6,80.3,162.2,168.9,130.7,28.9,인구감소지역,전라북도,25360.5,130.3~149,45720
충청남도 공주시,124.2,67.2,157.8,156.6,103.8,124.5,인구감소지역,충청남도,104677.0,111.5~130,44150
충청남도 금산군,133.3,84.5,155.1,163.7,122.0,66.1,인구감소지역,충청남도,51373.0,130.3~149,44710
충청남도 논산시,127.2,77.4,161.3,156.6,99.2,133.3,인구감소지역,충청남도,116625.5,111.5~130,44230
충청남도 보령시,126.6,84.4,157.7,152.5,91.2,111.7,인구감소지역,충청남도,99852.5,111.5~130,44180
충청남도 부여군,132.2,78.7,153.1,164.1,113.7,77.1,인구감소지역,충청남도,65431.0,130.3~149,44760
충청남도 서천군,136.2,85.2,154.7,165.4,118.9,62.2,인구감소지역,충청남도,51820.5,130.3~149,44770
충청남도 예산군,132.2,79.4,155.0,165.8,108.5,93.4,인구감소지역,충청남도,78071.5,130.3~149,44810
충청남도 청양군,157.2,95.8,178.3,182.8,147.7,43.9,인구감소지역,충청남도,31134.0,149.1~168,44790
충청남도 태안군,142.7,85.2,154.8,169.2,130.4,76.9,인구감소지역,충청남도,62050.5,130.3~149,44825
충청북도 괴산군,137.5,70.8,179.6,167.4,121.4,49.5,인구감소지역,충청북도,38968.0,130.3~149,43760
