"행정구역(시군구)별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"전국",20211770,20456588,20724094,21011152,21294009,21632851,22042947,22481466,23093108,23472895
"서울특별시",4177970,4182351,4194176,4189948,4189839,4220082,4263868,4327605,4417954,4426007
"종로구",75659,73693,73101,72645,72118,73594,73735,73947,75003,73494
"중구",61546,60600,59960,59321,59651,60412,61502,62739,63686,63519
"용산구",110706,109361,108429,107512,106607,107666,108974,110126,113093,111036
"성동구",125848,126447,125814,126714,128727,132902,137209,135838,135870,134233
"광진구",158534,159173,158524,158353,158390,160798,162606,164428,167427,167949
"동대문구",157650,159256,159880,159941,159426,159938,161820,164191,167598,168219
"중랑구",174313,174938,176714,176390,177400,179132,180511,181579,185920,185712
"성북구",197992,196693,193359,190973,188304,187112,186601,192592,195396,195017
"강북구",142150,141246,141246,141088,141229,142533,143395,144277,145896,144536
"도봉구",138036,137714,136977,136903,136898,137378,138087,138508,139114,138656
"노원구",222959,222132,221107,219768,219736,217619,217655,216966,218270,217378
"은평구",200502,202487,202187,203410,201891,202839,205001,207681,213914,214711
"서대문구",135104,135272,134780,135770,136766,137266,138549,140157,144838,143647
"마포구",166722,166780,169492,171480,169432,169408,172505,175023,178482,179861
"양천구",181135,180443,179069,179512,177434,176649,176498,177256,180633,181404
"강서구",223708,226607,234378,238952,245045,254257,258503,262708,266982,271175
"구로구",171498,171419,172594,172321,172220,171570,172457,176568,180531,180929
"금천구",104357,104179,103940,103847,104483,106066,107971,110622,114715,117595
"영등포구",167685,167761,168100,167863,165729,167355,171085,174806,184714,187020
"동작구",169293,172700,172389,170495,172506,172995,177176,180753,184229,184812
"관악구",247598,248006,248180,249191,251955,255352,262222,268559,274811,276597
"서초구",168878,170594,173469,173007,173970,173594,172918,173199,173502,170244
"강남구",230755,230645,237375,237373,234080,231612,228775,232981,234872,234233
"송파구",257852,257441,257207,256611,258382,264628,270866,278711,281959,282417
"강동구",187490,186764,185905,180508,177460,177407,177247,183390,196499,201613
"부산광역시",1389526,1404663,1421648,1437818,1451270,1467555,1480468,1497908,1530431,1544663
"중구",23309,23374,23493,23295,23282,23284,22975,23160,23847,23925
"서구",53138,53031,53417,53199,52497,51953,52819,52786,53853,52960
"동구",43859,43528,43728,43430,43036,43413,43261,44657,46003,46362
"영도구",57900,57277,56580,56446,55893,55713,55312,54859,54903,54659
"부산진구",160699,162795,165056,165199,165238,166491,165253,166865,173263,173353
"동래구",105187,105836,107023,106766,107917,108609,108757,112136,114987,115718
"남구",113397,114945,114412,114120,113791,113898,117558,117397,117876,117821
"북구",115306,115308,115869,118865,120707,120249,120036,120273,120668,123316
"해운대구",160053,161081,162347,164386,165290,165002,166748,168650,171376,172397
"사하구",134327,134841,134877,134692,135641,137679,138503,138790,138854,139604
"금정구",99610,100423,100616,101130,102522,104827,106415,107024,107561,108070
"강서구",27838,29491,33165,38727,44112,47850,50488,53731,58141,61502
"연제구",82161,82467,83188,84543,84398,85892,87833,90266,92583,93606
"수영구",71183,71790,74356,76325,77733,79788,79842,81452,84311,85896
"사상구",96373,96636,96915,96671,96403,97169,96698,96726,97556,98621
"기장군",45186,51840,56606,60024,62810,65738,67970,69136,74649,76853
"대구광역시",948652,960265,970618,982360,994220,1006753,1021266,1031251,1056627,1063893
"중구",35175,35780,37220,38294,37987,37856,38619,38418,39111,38370
"동구",136479,138851,141918,144403,147154,148719,152370,152545,155865,158423
"서구",91162,90793,90413,89896,88468,86738,85142,82733,83437,82301
"남구",75085,75038,75028,74949,73979,73442,74134,74588,76582,76256
"북구",164222,165041,167760,169568,171181,174617,177162,180115,187494,190956
"수성구",162023,164518,165197,165786,165392,164900,165843,167040,170870,171239
"달서구",217731,222326,224083,225889,225643,224583,227966,231978,235303,234950
"달성군",66775,67918,68999,73575,84416,95898,100030,103834,107965,111398
"인천광역시",1097491,1118988,1136280,1154004,1171399,1188917,1213201,1238641,1267956,1298647
"중구",44368,47949,49874,51240,52218,54525,57887,65002,68379,71061
"중구영종출장소",-,-,-,-,-,-,-,-,0,-
"중구용유출장소",-,-,-,-,-,-,-,-,0,-
"동구",31423,30966,30776,30371,30081,29870,28952,28739,28777,28681
"남구",171293,171342,171507,171888,178444,182292,-,-,-,-
"미추홀구",-,-,-,-,-,-,184275,184872,188277,193561
"연수구",104748,107906,112015,115920,120580,123913,129806,140700,152266,155984
"남동구",192030,194917,199768,208231,209885,214280,218945,221455,225394,228442
"부평구",213125,214173,216336,217217,216492,215192,212906,211851,211305,213372
"계양구",127706,128889,128138,127063,126963,125936,124281,123283,124421,127984
"서구",172946,182028,186599,190119,194008,199152,211847,217887,223229,232834
"서구검단출장소",-,-,-,-,-,-,-,-,0,-
"강화군",29308,29713,30184,30703,31106,31869,32556,33163,33915,34667
"옹진군",10544,11105,11083,11252,11622,11888,11746,11689,11993,12061
"광주광역시",555538,563599,573043,580427,586464,592818,603107,616485,633582,645712
"동구",47283,46428,46153,45860,45095,45341,45452,47885,51029,52362
"서구",117665,119155,119658,120107,123500,124663,126751,128783,131373,132808
"남구",83255,83402,85996,87473,87879,88605,89574,92233,93295,95722
"북구",170004,173165,176440,178735,178956,180682,184617,187015,191997,195695
"광산구",137331,141449,144796,148252,151034,153527,156713,160569,165888,169125
"대전광역시",575600,584877,592508,597008,606137,614639,624965,635343,652783,664417
"동구",101687,102263,101512,100635,100398,100677,102632,104064,105729,107832
"중구",102201,103705,103669,103285,103681,104509,105270,106379,107626,107609
"서구",183229,186185,187921,189068,192834,196016,199689,203754,209931,213592
"유성구",111553,115304,121857,126969,132464,137514,141533,145305,151292,155450
"대덕구",76930,77420,77549,77051,76760,75923,75841,75841,78205,79934
"울산광역시",422177,431595,442250,451688,455352,458547,461756,468659,476893,482650
"중구",87944,89595,92545,95710,95673,95386,94102,93062,93212,93633
"남구",128366,130945,132974,133669,134140,134372,134986,135311,137925,138512
"동구",64656,67059,67951,68359,68548,66888,65791,65183,65815,66201
"북구",62175,63554,65589,67469,69693,72416,75403,81144,83781,85815
