"행정구역별",2021.1/2,2021.2/2,2022.1/2
"행정구역별",경제활동인구 (천명),경제활동인구 (천명),경제활동인구 (천명)
"서울 종로구",76.7,81.1,81.2
"서울 중구",68.9,70.2,72.4
"서울 용산구",128.3,128.9,128.3
"서울 성동구",155.6,154.3,156.5
"서울 광진구",190.8,190.4,198.5
"서울 동대문구",180.0,181.8,186.1
"서울 중랑구",202.4,200.8,202.0
"서울 성북구",216.3,216.8,221.3
"서울 강북구",147.7,148.4,144.0
"서울 도봉구",159.3,161.0,158.0
"서울 노원구",254.2,251.2,251.3
"서울 은평구",237.7,243.3,238.3
"서울 서대문구",161.2,160.5,159.6
"서울 마포구",203.1,206.8,208.0
"서울 양천구",222.3,219.4,223.7
"서울 강서구",305.5,304.8,310.8
"서울 구로구",228.8,231.9,229.3
"서울 금천구",137.2,137.3,140.1
"서울 영등포구",216.2,223.1,228.4
"서울 동작구",207.0,212.5,215.0
"서울 관악구",266.4,272.2,282.1
"서울 서초구",197.8,199.1,195.6
"서울 강남구",262.4,267.4,264.4
"서울 송파구",340.6,339.4,345.3
"서울 강동구",243.6,243.3,244.9
"부산 중구",20.1,21.7,22.2
"부산 서구",49.2,51.4,50.2
"부산 동구",40.4,41.9,41.8
"부산 영도구",48.7,51.2,51.5
"부산 부산진구",176.2,179.0,173.6
"부산 동래구",125.7,128.4,129.3
"부산 남구",123.8,124.3,128.6
"부산 북구",130.0,133.4,132.0
"부산 해운대구",181.6,186.4,184.7
"부산 사하구",153.0,155.0,154.0
"부산 금정구",109.5,114.0,109.9
"부산 강서구",72.8,74.8,76.6
"부산 연제구",97.4,101.2,103.0
"부산 수영구",83.7,87.8,88.9
"부산 사상구",110.2,111.0,112.3
"부산 기장군",86.6,86.6,84.8
"대구 중구",37.4,37.8,38.5
"대구 동구",163.2,165.4,170.0
"대구 서구",81.3,82.4,81.2
"대구 남구",67.6,70.3,68.7
"대구 북구",214.6,219.8,220.0
"대구 수성구",191.6,191.5,189.7
"대구 달서구",277.5,277.0,277.9
"대구 달성군",135.2,141.9,141.9
"인천 중구",75.3,76.7,77.8
"인천 동구",32.9,33.1,32.3
"인천 연수구",203.6,209.4,205.1
"인천 남동구",274.1,276.1,275.7
"인천 부평구",261.9,267.5,267.2
"인천 계양구",160.1,159.1,162.8
"인천 서구",296.2,298.1,314.3
"인천 미추홀구",220.5,228.8,227.1
"인천 강화군",39.1,39.8,39.4
"인천 옹진군",12.1,12.3,12.4
"광주 동구",56.1,55.6,58.4
"광주 서구",157.9,157.9,157.9
"광주 남구",110.5,109.8,112.2
"광주 북구",217.8,219.3,222.5
"광주 광산구",221.3,223.4,218.0
"대전 동구",109.9,115.5,114.6
"대전 중구",118.8,120.6,119.7
"대전 서구",250.7,254.7,246.2
"대전 유성구",193.8,192.1,201.6
"대전 대덕구",89.5,94.3,95.5
"울산 중구",102.4,104.6,104.0
"울산 남구",160.2,161.4,161.4
"울산 동구",75.0,75.4,76.8
"울산 북구",109.3,112.0,110.5
"울산 울주군",115.0,121.0,119.4
"수원시",632.4,650.6,656.9
"성남시",495.7,501.2,497.8
"의정부시",229.4,235.5,230.3
"안양시",291.1,287.0,289.7
"부천시",443.2,441.1,441.7
"광명시",148.8,151.8,150.5
"평택시",296.8,305.0,326.3
"동두천시",45.5,49.1,48.4
"안산시",385.7,393.1,407.8
"고양시",546.5,560.8,570.5
"과천시",30.8,32.7,38.1
"구리시",102.0,100.7,102.3
"남양주시",339.3,354.2,353.5
"오산시",132.6,132.7,133.8
"시흥시",294.7,307.9,315.8
