"행정구역별","산업별",2021.1/2,2021.2/2,2022.1/2
"행정구역별","산업별",취업자 (천명),취업자 (천명),취업자 (천명)
"서울 종로구","계",73.1,77.8,78.3
"서울 종로구","농업, 임업 및 어업 (A)",0.2,0.3,0.2
"서울 종로구","광·제조업(B,C)",7.8,6.2,7.6
"서울 종로구","건설업 (F) ",3.9,4.0,3.5
"서울 종로구","도소매·음식숙박업(G,I)",16.8,19.2,20.4
"서울 종로구","전기·운수·통신·금융(D,H,J,K)",10.8,12.5,13.1
"서울 종로구","사업·개인·공공서비스 및 기타(E,L~U)",33.7,35.7,33.6
"서울 중구","계",65.4,67.1,69.4
"서울 중구","농업, 임업 및 어업 (A)",-,-,-
"서울 중구","광·제조업(B,C)",8.4,8.1,9.2
"서울 중구","건설업 (F) ",3.7,3.8,4.2
"서울 중구","도소매·음식숙박업(G,I)",20.0,19.7,21.6
"서울 중구","전기·운수·통신·금융(D,H,J,K)",8.3,9.6,9.3
"서울 중구","사업·개인·공공서비스 및 기타(E,L~U)",25.2,26.0,25.1
"서울 용산구","계",121.0,122.7,122.8
"서울 용산구","농업, 임업 및 어업 (A)",-,-,-
"서울 용산구","광·제조업(B,C)",10.8,10.5,10.0
"서울 용산구","건설업 (F) ",5.5,6.6,6.4
"서울 용산구","도소매·음식숙박업(G,I)",31.8,31.1,33.1
"서울 용산구","전기·운수·통신·금융(D,H,J,K)",19.3,19.8,21.4
"서울 용산구","사업·개인·공공서비스 및 기타(E,L~U)",53.6,54.7,51.9
"서울 성동구","계",147.1,146.7,150.1
"서울 성동구","농업, 임업 및 어업 (A)",0.1,0.1,0.2
"서울 성동구","광·제조업(B,C)",16.9,15.2,16.1
"서울 성동구","건설업 (F) ",7.0,6.6,6.7
"서울 성동구","도소매·음식숙박업(G,I)",35.4,34.7,34.2
"서울 성동구","전기·운수·통신·금융(D,H,J,K)",26.1,27.1,25.2
"서울 성동구","사업·개인·공공서비스 및 기타(E,L~U)",61.6,62.9,67.9
"서울 광진구","계",179.8,183.2,190.7
"서울 광진구","농업, 임업 및 어업 (A)",-,-,-
"서울 광진구","광·제조업(B,C)",16.7,16.5,18.0
"서울 광진구","건설업 (F) ",13.1,11.4,12.3
"서울 광진구","도소매·음식숙박업(G,I)",44.7,49.7,48.6
"서울 광진구","전기·운수·통신·금융(D,H,J,K)",28.5,30.5,31.0
"서울 광진구","사업·개인·공공서비스 및 기타(E,L~U)",77.0,75.1,80.8
"서울 동대문구","계",171.0,173.3,178.5
"서울 동대문구","농업, 임업 및 어업 (A)",-,-,0.1
"서울 동대문구","광·제조업(B,C)",15.5,16.6,16.1
"서울 동대문구","건설업 (F) ",13.0,10.1,10.1
"서울 동대문구","도소매·음식숙박업(G,I)",49.3,49.5,51.7
"서울 동대문구","전기·운수·통신·금융(D,H,J,K)",24.4,26.2,27.9
"서울 동대문구","사업·개인·공공서비스 및 기타(E,L~U)",68.7,70.8,72.6
"서울 중랑구","계",190.6,190.5,193.5
"서울 중랑구","농업, 임업 및 어업 (A)",-,-,-
"서울 중랑구","광·제조업(B,C)",20.2,19.7,22.0
"서울 중랑구","건설업 (F) ",13.4,13.6,13.9
"서울 중랑구","도소매·음식숙박업(G,I)",44.1,43.3,45.2
"서울 중랑구","전기·운수·통신·금융(D,H,J,K)",32.7,32.8,33.0
"서울 중랑구","사업·개인·공공서비스 및 기타(E,L~U)",80.2,81.2,79.3
"서울 성북구","계",204.3,206.8,211.0
"서울 성북구","농업, 임업 및 어업 (A)",0.2,-,0.2
"서울 성북구","광·제조업(B,C)",18.4,19.1,19.7
"서울 성북구","건설업 (F) ",14.3,12.2,12.6
"서울 성북구","도소매·음식숙박업(G,I)",50.0,50.6,49.5
"서울 성북구","전기·운수·통신·금융(D,H,J,K)",29.5,32.9,33.9
"서울 성북구","사업·개인·공공서비스 및 기타(E,L~U)",92.0,92.1,95.1
"서울 강북구","계",139.6,140.1,137.0
"서울 강북구","농업, 임업 및 어업 (A)",-,-,-
"서울 강북구","광·제조업(B,C)",11.6,11.5,10.9
"서울 강북구","건설업 (F) ",9.4,9.0,12.0
"서울 강북구","도소매·음식숙박업(G,I)",35.2,34.4,31.7
"서울 강북구","전기·운수·통신·금융(D,H,J,K)",22.6,22.3,22.7
"서울 강북구","사업·개인·공공서비스 및 기타(E,L~U)",60.8,62.9,59.7
"서울 도봉구","계",149.5,151.6,150.3
"서울 도봉구","농업, 임업 및 어업 (A)",-,0.3,0.2
"서울 도봉구","광·제조업(B,C)",13.8,13.3,12.1
"서울 도봉구","건설업 (F) ",11.1,12.7,11.6
"서울 도봉구","도소매·음식숙박업(G,I)",31.8,33.6,36.0
"서울 도봉구","전기·운수·통신·금융(D,H,J,K)",31.3,30.6,28.7
"서울 도봉구","사업·개인·공공서비스 및 기타(E,L~U)",61.6,61.0,61.7
"서울 노원구","계",241.7,242.2,242.2
"서울 노원구","농업, 임업 및 어업 (A)",-,-,-
"서울 노원구","광·제조업(B,C)",18.0,18.6,19.8
"서울 노원구","건설업 (F) ",11.4,11.6,11.1
"서울 노원구","도소매·음식숙박업(G,I)",50.1,48.3,50.6
"서울 노원구","전기·운수·통신·금융(D,H,J,K)",38.5,40.1,40.5
"서울 노원구","사업·개인·공공서비스 및 기타(E,L~U)",123.7,123.6,120.3
"서울 은평구","계",224.6,232.1,227.9
"서울 은평구","농업, 임업 및 어업 (A)",-,0.2,0.2
"서울 은평구","광·제조업(B,C)",12.6,12.4,12.6
"서울 은평구","건설업 (F) ",17.9,20.2,21.1
"서울 은평구","도소매·음식숙박업(G,I)",51.0,53.4,53.4
"서울 은평구","전기·운수·통신·금융(D,H,J,K)",42.3,40.5,41.3
"서울 은평구","사업·개인·공공서비스 및 기타(E,L~U)",100.8,105.6,99.4
"서울 서대문구","계",152.2,152.3,152.8
"서울 서대문구","농업, 임업 및 어업 (A)",-,-,-
"서울 서대문구","광·제조업(B,C)",10.1,9.1,10.4
"서울 서대문구","건설업 (F) ",8.6,9.0,10.6
"서울 서대문구","도소매·음식숙박업(G,I)",34.9,39.2,36.3
"서울 서대문구","전기·운수·통신·금융(D,H,J,K)",28.7,24.1,27.4
"서울 서대문구","사업·개인·공공서비스 및 기타(E,L~U)",69.9,71.1,68.0
"서울 마포구","계",195.6,199.5,201.6
"서울 마포구","농업, 임업 및 어업 (A)",0.3,0.3,-
"서울 마포구","광·제조업(B,C)",11.6,11.2,11.6
"서울 마포구","건설업 (F) ",8.9,8.8,8.1
"서울 마포구","도소매·음식숙박업(G,I)",42.6,41.9,41.0
"서울 마포구","전기·운수·통신·금융(D,H,J,K)",45.2,47.1,49.7
"서울 마포구","사업·개인·공공서비스 및 기타(E,L~U)",87.1,90.2,91.2
"서울 양천구","계",210.5,211.3,214.3
"서울 양천구","농업, 임업 및 어업 (A)",0.1,0.3,0.3
"서울 양천구","광·제조업(B,C)",18.3,17.1,14.5
"서울 양천구","건설업 (F) ",14.1,14.6,14.6
"서울 양천구","도소매·음식숙박업(G,I)",42.5,40.7,43.6
"서울 양천구","전기·운수·통신·금융(D,H,J,K)",43.4,41.7,44.2
"서울 양천구","사업·개인·공공서비스 및 기타(E,L~U)",92.0,96.8,97.1
"서울 강서구","계",288.1,292.9,297.9
"서울 강서구","농업, 임업 및 어업 (A)",0.6,0.2,0.2
"서울 강서구","광·제조업(B,C)",24.5,23.8,24.5
"서울 강서구","건설업 (F) ",18.8,19.8,20.5
"서울 강서구","도소매·음식숙박업(G,I)",60.7,61.4,60.6
"서울 강서구","전기·운수·통신·금융(D,H,J,K)",61.8,67.5,69.5
"서울 강서구","사업·개인·공공서비스 및 기타(E,L~U)",121.7,120.2,122.7
"서울 구로구","계",217.2,221.0,221.6
"서울 구로구","농업, 임업 및 어업 (A)",-,0.2,0.3
"서울 구로구","광·제조업(B,C)",26.1,25.1,24.1
"서울 구로구","건설업 (F) ",24.2,24.9,29.8
"서울 구로구","도소매·음식숙박업(G,I)",53.5,52.9,52.9
"서울 구로구","전기·운수·통신·금융(D,H,J,K)",31.2,33.7,32.9
"서울 구로구","사업·개인·공공서비스 및 기타(E,L~U)",82.2,84.0,81.6
"서울 금천구","계",129.2,130.1,133.1
"서울 금천구","농업, 임업 및 어업 (A)",0.3,0.2,0.4
"서울 금천구","광·제조업(B,C)",22.5,21.7,22.7
"서울 금천구","건설업 (F) ",14.8,14.6,17.2
"서울 금천구","도소매·음식숙박업(G,I)",29.9,27.4,28.2
"서울 금천구","전기·운수·통신·금융(D,H,J,K)",18.9,19.8,20.1
"서울 금천구","사업·개인·공공서비스 및 기타(E,L~U)",42.8,46.3,44.6
"서울 영등포구","계",206.9,214.4,219.3
"서울 영등포구","농업, 임업 및 어업 (A)",-,-,-
"서울 영등포구","광·제조업(B,C)",19.3,18.7,20.4
"서울 영등포구","건설업 (F) ",23.0,24.9,26.4
"서울 영등포구","도소매·음식숙박업(G,I)",47.6,47.0,47.0
"서울 영등포구","전기·운수·통신·금융(D,H,J,K)",38.7,41.5,43.6
"서울 영등포구","사업·개인·공공서비스 및 기타(E,L~U)",78.3,82.3,81.9
"서울 동작구","계",195.7,200.9,204.4
"서울 동작구","농업, 임업 및 어업 (A)",-,0.2,-
"서울 동작구","광·제조업(B,C)",16.7,13.8,13.3
"서울 동작구","건설업 (F) ",12.2,12.6,13.0
"서울 동작구","도소매·음식숙박업(G,I)",41.4,43.1,41.8
"서울 동작구","전기·운수·통신·금융(D,H,J,K)",37.2,42.8,46.5
"서울 동작구","사업·개인·공공서비스 및 기타(E,L~U)",88.2,88.3,89.8
"서울 관악구","계",249.8,256.2,268.7
"서울 관악구","농업, 임업 및 어업 (A)",-,-,-
"서울 관악구","광·제조업(B,C)",22.0,23.0,20.1
"서울 관악구","건설업 (F) ",20.0,19.4,20.4
"서울 관악구","도소매·음식숙박업(G,I)",52.5,57.2,57.4
"서울 관악구","전기·운수·통신·금융(D,H,J,K)",47.1,49.8,54.3
