,sigungu,성별,연령별,2016 년,2017 년,2018 년,2019 년,2020 년
420,동구,남자,0 - 4세,1552.5,1413.5,1247.0,1061.0,861.0
421,동구,남자,5 - 9세,1574.5,1538.5,1422.5,1323.0,1260.0
422,동구,남자,10 - 14세,1508.0,1458.0,1427.0,1359.0,1293.0
423,동구,남자,15 - 19세,1960.5,1818.5,1668.0,1532.5,1398.0
424,동구,남자,20 - 24세,2076.0,2023.0,1949.0,1857.5,1800.0
425,동구,남자,25 - 29세,1947.5,1892.5,1841.5,1841.0,1835.0
426,동구,남자,30 - 34세,2489.5,2246.5,1981.5,1741.5,1601.0
427,동구,남자,35 - 39세,3090.5,3001.0,2815.5,2509.0,2195.5
428,동구,남자,40 - 44세,3148.0,2973.0,2770.5,2666.5,2596.0
429,동구,남자,45 - 49세,2920.5,3003.5,3007.0,2896.5,2805.0
430,동구,남자,50 - 54세,2824.5,2690.5,2632.0,2638.5,2632.0
431,동구,남자,55 - 59세,3010.5,2977.0,2865.0,2729.5,2663.0
432,동구,남자,60 - 64세,2383.0,2542.0,2622.5,2682.0,2700.5
433,동구,남자,65 - 69세,1815.5,1801.5,1809.5,1852.5,1968.5
434,동구,남자,70 - 74세,1517.0,1526.5,1550.0,1578.0,1617.0
435,동구,남자,75 - 79세,1022.5,1120.5,1190.0,1207.0,1238.0
436,동구,남자,80 - 84세,448.5,494.5,548.0,617.5,681.5
437,동구,남자,85 - 89세,196.0,207.0,207.5,215.5,242.0
438,동구,남자,90 - 94세,59.0,60.5,63.5,62.5,69.0
439,동구,남자,95 - 99세,15.5,15.0,14.0,15.5,16.0
440,동구,남자,100세 이상,1.0,1.0,1.5,1.5,0.5
567,동구,남자,0 - 4세,1771.0,1636.5,1589.0,1623.0,1691.0
568,동구,남자,5 - 9세,1535.0,1564.5,1577.5,1672.0,1883.0
569,동구,남자,10 - 14세,1766.0,1667.0,1584.0,1547.0,1636.0
570,동구,남자,15 - 19세,2752.0,2573.5,2392.5,2305.0,2211.0
571,동구,남자,20 - 24세,3521.5,3470.0,3443.5,3464.0,3639.5
572,동구,남자,25 - 29세,3217.5,3259.0,3332.5,3460.0,3684.0
573,동구,남자,30 - 34세,3470.5,3144.0,2936.0,2921.0,3098.0
574,동구,남자,35 - 39세,3470.5,3412.5,3374.5,3423.0,3610.5
575,동구,남자,40 - 44세,3500.0,3326.0,3184.5,3200.5,3414.0
576,동구,남자,45 - 49세,3650.5,3652.5,3642.0,3639.5,3655.0
577,동구,남자,50 - 54세,3605.0,3490.0,3441.5,3522.0,3705.0
578,동구,남자,55 - 59세,4088.0,4004.0,3881.5,3787.0,3732.5
579,동구,남자,60 - 64세,3209.5,3333.0,3493.0,3663.0,3847.0
580,동구,남자,65 - 69세,2766.0,2718.0,2677.5,2680.5,2816.5
581,동구,남자,70 - 74세,2368.0,2269.5,2277.0,2344.0,2406.5
582,동구,남자,75 - 79세,1806.5,1953.5,2037.5,2028.0,2041.0
583,동구,남자,80 - 84세,916.5,1020.5,1127.5,1230.0,1327.5
584,동구,남자,85 - 89세,344.0,365.5,398.0,456.0,520.5
585,동구,남자,90 - 94세,90.5,103.5,110.0,122.0,142.0
586,동구,남자,95 - 99세,16.5,16.0,17.0,20.5,21.5
587,동구,남자,100세 이상,0.5,0.5,0.5,0.5,3.0
672,동구,남자,0 - 4세,5094.5,4641.5,4227.5,3869.0,3446.5
673,동구,남자,5 - 9세,5447.0,5252.0,5004.0,4792.5,4599.0
674,동구,남자,10 - 14세,5391.5,5218.0,5114.5,4980.5,4893.5
675,동구,남자,15 - 19세,7217.5,6835.5,6449.0,6055.5,5645.5
676,동구,남자,20 - 24세,9082.5,8865.0,8689.5,8571.0,8284.0
677,동구,남자,25 - 29세,7794.0,7756.5,7773.5,7854.5,7820.0
678,동구,남자,30 - 34세,8207.5,7411.5,6829.0,6542.5,6414.0
679,동구,남자,35 - 39세,9164.5,8882.5,8645.5,8309.0,7743.5
680,동구,남자,40 - 44세,9932.0,9369.0,8907.0,8422.0,8131.5
681,동구,남자,45 - 49세,9779.5,9888.0,9914.0,9868.0,9697.5
682,동구,남자,50 - 54세,9399.0,8979.5,8988.0,9246.0,9364.0
683,동구,남자,55 - 59세,9569.0,9745.0,9745.0,9618.0,9332.5
684,동구,남자,60 - 64세,7433.0,7795.0,8141.5,8532.0,8849.0
685,동구,남자,65 - 69세,5473.5,5628.5,5762.0,5962.0,6364.0
686,동구,남자,70 - 74세,4354.5,4303.0,4358.5,4536.0,4710.0
687,동구,남자,75 - 79세,2876.5,3142.5,3444.0,3596.0,3682.0
688,동구,남자,80 - 84세,1512.5,1651.0,1803.0,1946.5,2046.0
689,동구,남자,85 - 89세,535.5,599.5,654.5,732.0,824.0
690,동구,남자,90 - 94세,148.0,151.5,167.0,186.5,208.5
691,동구,남자,95 - 99세,28.0,31.0,33.0,35.5,37.0
692,동구,남자,100세 이상,2.5,4.0,3.5,3.0,4.5
0,중구,남자,0 - 4세,573.0,508.5,453.0,391.5,318.0
1,중구,남자,5 - 9세,518.5,508.5,475.5,442.5,418.5
2,중구,남자,10 - 14세,605.5,524.5,466.0,444.0,438.0
3,중구,남자,15 - 19세,1017.5,940.5,836.5,736.0,639.5
4,중구,남자,20 - 24세,1436.0,1373.0,1286.0,1227.5,1179.0
5,중구,남자,25 - 29세,1472.5,1533.5,1546.5,1542.0,1592.0
6,중구,남자,30 - 34세,1534.5,1399.0,1293.0,1221.5,1194.0
7,중구,남자,35 - 39세,1477.5,1469.5,1413.5,1315.0,1232.0
8,중구,남자,40 - 44세,1728.5,1600.0,1449.5,1341.5,1274.5
9,중구,남자,45 - 49세,1812.5,1826.0,1833.0,1747.0,1654.5
10,중구,남자,50 - 54세,1806.0,1722.5,1658.0,1677.5,1709.5
11,중구,남자,55 - 59세,2082.5,2039.5,1977.5,1881.5,1769.5
12,중구,남자,60 - 64세,1845.0,1926.0,1964.0,1972.5,1964.0
13,중구,남자,65 - 69세,1391.0,1402.5,1437.0,1492.0,1590.5
14,중구,남자,70 - 74세,1144.5,1135.0,1123.0,1127.0,1172.5
15,중구,남자,75 - 79세,768.5,846.0,911.0,937.0,936.0
16,중구,남자,80 - 84세,337.5,359.5,400.0,461.0,505.5
17,중구,남자,85 - 89세,126.0,141.0,154.0,166.5,183.0
18,중구,남자,90 - 94세,34.5,31.5,37.5,44.0,52.5
19,중구,남자,95 - 99세,8.5,9.0,9.5,11.5,10.5
20,중구,남자,100세 이상,2.0,1.0,1.0,1.0,2.0
