,sigungu,성별,연령별,2016 년,2017 년,2018 년,2019 년,2020 년
0,부산진구,남자,0 - 4세,6892.5,6534.0,6065.5,5534.0,5003.0
1,부산진구,남자,5 - 9세,6567.0,6488.0,6325.0,6171.5,6072.0
2,부산진구,남자,10 - 14세,6731.5,6358.0,6137.0,5894.5,5856.0
3,부산진구,남자,15 - 19세,10066.0,9247.0,8477.0,7870.0,7198.0
4,부산진구,남자,20 - 24세,13776.0,13274.0,12526.0,11842.5,11470.0
5,부산진구,남자,25 - 29세,13034.5,13400.0,13647.0,13682.0,14113.5
6,부산진구,남자,30 - 34세,14062.0,13036.5,12063.5,11436.5,11563.5
7,부산진구,남자,35 - 39세,14235.5,14311.0,14036.0,13316.5,12668.5
8,부산진구,남자,40 - 44세,14366.0,13610.5,12819.0,12191.0,12127.5
9,부산진구,남자,45 - 49세,14607.0,14627.0,14462.0,14110.0,13702.0
10,부산진구,남자,50 - 54세,14594.5,13936.5,13604.0,13514.0,13622.5
11,부산진구,남자,55 - 59세,16067.0,15989.0,15518.5,14908.5,14356.5
12,부산진구,남자,60 - 64세,13088.5,13572.0,13963.5,14256.0,14473.0
13,부산진구,남자,65 - 69세,9625.0,9964.5,10077.0,10258.5,10911.5
14,부산진구,남자,70 - 74세,7127.5,7049.5,7179.0,7450.5,7832.5
15,부산진구,남자,75 - 79세,4893.5,5266.5,5604.5,5762.0,5759.0
16,부산진구,남자,80 - 84세,2291.5,2528.0,2708.5,2907.0,3158.0
17,부산진구,남자,85 - 89세,699.5,793.0,905.0,1025.0,1172.0
18,부산진구,남자,90 - 94세,152.5,165.5,174.5,203.0,232.5
19,부산진구,남자,95 - 99세,25.5,27.0,30.0,36.0,38.0
20,부산진구,남자,100세 이상,1.5,1.0,1.5,2.5,2.5
21,동래구,남자,0 - 4세,4918.5,4742.5,4418.5,4305.5,4187.0
22,동래구,남자,5 - 9세,5569.5,5711.5,5722.0,5817.0,6046.0
23,동래구,남자,10 - 14세,6222.0,6133.0,6117.0,6104.0,6269.5
24,동래구,남자,15 - 19세,8916.5,8356.5,7829.5,7411.5,6920.0
25,동래구,남자,20 - 24세,10190.5,9867.0,9351.0,8904.0,8557.5
26,동래구,남자,25 - 29세,8454.0,8565.0,8699.5,8770.5,8735.0
27,동래구,남자,30 - 34세,8582.0,8000.5,7465.0,7438.0,7533.0
28,동래구,남자,35 - 39세,9462.0,9655.0,9590.5,9448.0,9191.0
29,동래구,남자,40 - 44세,10358.0,9925.0,9471.0,9349.5,9656.5
30,동래구,남자,45 - 49세,11177.0,11347.5,11271.0,11178.5,11118.0
31,동래구,남자,50 - 54세,10598.5,10178.5,10105.0,10387.5,10687.5
32,동래구,남자,55 - 59세,11705.5,11637.5,11206.5,10725.0,10305.5
33,동래구,남자,60 - 64세,9352.5,9689.0,9970.5,10296.0,10485.5
34,동래구,남자,65 - 69세,6941.5,7190.0,7331.0,7556.0,8025.0
35,동래구,남자,70 - 74세,4923.5,5070.5,5303.5,5580.5,5879.0
36,동래구,남자,75 - 79세,3193.5,3496.0,3750.5,3941.5,4097.0
37,동래구,남자,80 - 84세,1485.0,1654.5,1820.5,1999.0,2181.5
38,동래구,남자,85 - 89세,467.0,534.5,586.0,642.0,725.0
39,동래구,남자,90 - 94세,126.0,137.5,151.0,162.5,181.5
40,동래구,남자,95 - 99세,15.0,17.5,23.0,23.0,25.0
41,동래구,남자,100세 이상,0.5,1.5,2.5,2.5,1.5
42,남구,남자,0 - 4세,5056.0,4661.5,4536.0,4434.0,3913.0
43,남구,남자,5 - 9세,5658.0,5521.5,5570.5,5739.0,5673.0
44,남구,남자,10 - 14세,6039.0,5840.0,5837.5,5771.0,5704.5
45,남구,남자,15 - 19세,8503.0,7997.5,7554.5,7117.0,6519.5
46,남구,남자,20 - 24세,10375.5,10064.5,9832.5,9703.0,9439.0
