,sigungu,성별,연령별,2016 년,2017 년,2018 년,2019 년,2020 년
42,부산진구,남자,0 - 4세,6892.5,6534.0,6065.5,5534.0,5003.0
43,부산진구,남자,5 - 9세,6567.0,6488.0,6325.0,6171.5,6072.0
44,부산진구,남자,10 - 14세,6731.5,6358.0,6137.0,5894.5,5856.0
45,부산진구,남자,15 - 19세,10066.0,9247.0,8477.0,7870.0,7198.0
46,부산진구,남자,20 - 24세,13776.0,13274.0,12526.0,11842.5,11470.0
47,부산진구,남자,25 - 29세,13034.5,13400.0,13647.0,13682.0,14113.5
48,부산진구,남자,30 - 34세,14062.0,13036.5,12063.5,11436.5,11563.5
49,부산진구,남자,35 - 39세,14235.5,14311.0,14036.0,13316.5,12668.5
50,부산진구,남자,40 - 44세,14366.0,13610.5,12819.0,12191.0,12127.5
51,부산진구,남자,45 - 49세,14607.0,14627.0,14462.0,14110.0,13702.0
52,부산진구,남자,50 - 54세,14594.5,13936.5,13604.0,13514.0,13622.5
53,부산진구,남자,55 - 59세,16067.0,15989.0,15518.5,14908.5,14356.5
54,부산진구,남자,60 - 64세,13088.5,13572.0,13963.5,14256.0,14473.0
55,부산진구,남자,65 - 69세,9625.0,9964.5,10077.0,10258.5,10911.5
56,부산진구,남자,70 - 74세,7127.5,7049.5,7179.0,7450.5,7832.5
57,부산진구,남자,75 - 79세,4893.5,5266.5,5604.5,5762.0,5759.0
58,부산진구,남자,80 - 84세,2291.5,2528.0,2708.5,2907.0,3158.0
59,부산진구,남자,85 - 89세,699.5,793.0,905.0,1025.0,1172.0
60,부산진구,남자,90 - 94세,152.5,165.5,174.5,203.0,232.5
61,부산진구,남자,95 - 99세,25.5,27.0,30.0,36.0,38.0
62,부산진구,남자,100세 이상,1.5,1.0,1.5,2.5,2.5
63,부산진구,여자,0 - 4세,6670.0,6239.5,5723.5,5197.0,4758.0
64,부산진구,여자,5 - 9세,6387.5,6357.5,6192.0,6055.5,5989.0
65,부산진구,여자,10 - 14세,6355.0,6091.5,5941.5,5801.0,5766.5
66,부산진구,여자,15 - 19세,8847.5,8296.5,7737.0,7213.0,6730.0
67,부산진구,여자,20 - 24세,13106.5,12719.5,12268.5,11933.0,11915.5
68,부산진구,여자,25 - 29세,13154.0,13418.0,13563.5,13657.5,14275.5
69,부산진구,여자,30 - 34세,13471.0,12538.5,11724.5,11235.0,11324.0
70,부산진구,여자,35 - 39세,13374.5,13408.5,13325.0,12732.5,12029.5
71,부산진구,여자,40 - 44세,13783.0,13039.5,12233.5,11719.0,11743.0
72,부산진구,여자,45 - 49세,14953.0,14919.0,14486.5,13999.5,13609.5
73,부산진구,여자,50 - 54세,15499.5,14672.5,14438.0,14422.0,14442.5
74,부산진구,여자,55 - 59세,17859.0,17892.0,17349.5,16507.5,15702.5
75,부산진구,여자,60 - 64세,14212.0,14747.5,15128.0,15696.0,16272.5
76,부산진구,여자,65 - 69세,10800.5,11125.5,11352.5,11470.5,12116.5
77,부산진구,여자,70 - 74세,8608.5,8483.0,8628.5,8998.5,9453.0
78,부산진구,여자,75 - 79세,7060.0,7511.5,7826.0,7889.5,7770.5
79,부산진구,여자,80 - 84세,4095.5,4378.0,4621.5,4945.5,5307.0
80,부산진구,여자,85 - 89세,1962.5,2105.5,2202.0,2312.0,2516.0
81,부산진구,여자,90 - 94세,604.5,637.0,705.5,799.0,871.5
82,부산진구,여자,95 - 99세,110.5,140.0,159.5,155.5,159.0
83,부산진구,여자,100세 이상,30.5,28.5,24.0,24.0,24.0
84,동래구,남자,0 - 4세,4918.5,4742.5,4418.5,4305.5,4187.0
85,동래구,남자,5 - 9세,5569.5,5711.5,5722.0,5817.0,6046.0
86,동래구,남자,10 - 14세,6222.0,6133.0,6117.0,6104.0,6269.5
87,동래구,남자,15 - 19세,8916.5,8356.5,7829.5,7411.5,6920.0
88,동래구,남자,20 - 24세,10190.5,9867.0,9351.0,8904.0,8557.5
89,동래구,남자,25 - 29세,8454.0,8565.0,8699.5,8770.5,8735.0
90,동래구,남자,30 - 34세,8582.0,8000.5,7465.0,7438.0,7533.0
91,동래구,남자,35 - 39세,9462.0,9655.0,9590.5,9448.0,9191.0
92,동래구,남자,40 - 44세,10358.0,9925.0,9471.0,9349.5,9656.5
93,동래구,남자,45 - 49세,11177.0,11347.5,11271.0,11178.5,11118.0
94,동래구,남자,50 - 54세,10598.5,10178.5,10105.0,10387.5,10687.5
95,동래구,남자,55 - 59세,11705.5,11637.5,11206.5,10725.0,10305.5
96,동래구,남자,60 - 64세,9352.5,9689.0,9970.5,10296.0,10485.5
97,동래구,남자,65 - 69세,6941.5,7190.0,7331.0,7556.0,8025.0
98,동래구,남자,70 - 74세,4923.5,5070.5,5303.5,5580.5,5879.0
99,동래구,남자,75 - 79세,3193.5,3496.0,3750.5,3941.5,4097.0
100,동래구,남자,80 - 84세,1485.0,1654.5,1820.5,1999.0,2181.5
101,동래구,남자,85 - 89세,467.0,534.5,586.0,642.0,725.0
102,동래구,남자,90 - 94세,126.0,137.5,151.0,162.5,181.5
103,동래구,남자,95 - 99세,15.0,17.5,23.0,23.0,25.0
104,동래구,남자,100세 이상,0.5,1.5,2.5,2.5,1.5
105,동래구,여자,0 - 4세,4518.0,4425.5,4145.5,4096.0,4024.0
106,동래구,여자,5 - 9세,5140.5,5246.5,5252.0,5346.5,5541.5
107,동래구,여자,10 - 14세,5707.5,5600.5,5542.0,5506.5,5702.5
108,동래구,여자,15 - 19세,7822.5,7437.5,7029.0,6691.0,6301.0
109,동래구,여자,20 - 24세,8601.5,8382.0,8075.0,7883.0,7705.5
110,동래구,여자,25 - 29세,7820.5,7808.0,7832.5,7909.0,7970.0
111,동래구,여자,30 - 34세,8239.0,7629.5,7079.0,7048.0,7208.0
112,동래구,여자,35 - 39세,9651.5,9797.5,9774.0,9671.5,9392.5
113,동래구,여자,40 - 44세,11010.0,10697.5,10247.0,10077.5,10324.0
114,동래구,여자,45 - 49세,12023.0,12031.0,11832.0,11716.5,11582.0
115,동래구,여자,50 - 54세,11870.0,11328.0,11183.5,11372.0,11505.5
116,동래구,여자,55 - 59세,12949.0,13045.5,12755.5,12332.5,11865.5
117,동래구,여자,60 - 64세,10458.0,10895.5,11183.5,11642.5,11995.5
118,동래구,여자,65 - 69세,7522.0,7965.0,8284.0,8567.5,9206.0
119,동래구,여자,70 - 74세,5427.5,5494.5,5724.5,6095.5,6603.5
120,동래구,여자,75 - 79세,4133.5,4496.0,4787.0,4934.5,4977.0
121,동래구,여자,80 - 84세,2607.0,2736.0,2849.0,3006.0,3193.5
122,동래구,여자,85 - 89세,1333.5,1416.5,1484.5,1571.0,1706.5
123,동래구,여자,90 - 94세,436.5,492.5,515.5,554.0,629.0
124,동래구,여자,95 - 99세,89.0,87.0,102.0,122.0,125.0
125,동래구,여자,100세 이상,11.0,18.0,18.0,19.0,21.0
126,남구,남자,0 - 4세,5056.0,4661.5,4536.0,4434.0,3913.0
127,남구,남자,5 - 9세,5658.0,5521.5,5570.5,5739.0,5673.0
128,남구,남자,10 - 14세,6039.0,5840.0,5837.5,5771.0,5704.5
129,남구,남자,15 - 19세,8503.0,7997.5,7554.5,7117.0,6519.5
130,남구,남자,20 - 24세,10375.5,10064.5,9832.5,9703.0,9439.0
131,남구,남자,25 - 29세,8760.5,8970.0,9322.0,9407.5,9296.0
132,남구,남자,30 - 34세,8893.0,7957.0,7477.5,7324.5,7066.0
133,남구,남자,35 - 39세,9919.5,9821.0,9936.5,9792.5,8939.0
134,남구,남자,40 - 44세,11374.5,10613.5,10203.5,9987.0,9727.0
135,남구,남자,45 - 49세,11606.5,11764.0,11890.0,11794.5,11407.5
136,남구,남자,50 - 54세,10516.5,10210.5,10318.5,10617.0,10698.5
137,남구,남자,55 - 59세,11396.0,11246.0,11034.5,10713.0,10145.5
138,남구,남자,60 - 64세,9544.5,9774.5,10162.5,10403.0,10308.0
139,남구,남자,65 - 69세,7386.5,7567.5,7709.5,7835.0,8128.0
140,남구,남자,70 - 74세,5731.0,5724.5,5857.5,6047.0,6231.5
141,남구,남자,75 - 79세,3780.5,4162.0,4524.5,4711.5,4723.0
142,남구,남자,80 - 84세,1660.0,1844.0,2067.5,2316.0,2548.0
143,남구,남자,85 - 89세,482.0,548.0,648.0,757.5,862.5
144,남구,남자,90 - 94세,118.5,127.5,142.5,162.5,178.0
145,남구,남자,95 - 99세,20.5,22.5,24.0,24.5,25.5
146,남구,남자,100세 이상,1.0,1.0,2.5,4.5,4.5
147,남구,여자,0 - 4세,4768.0,4380.5,4285.0,4226.0,3747.0
148,남구,여자,5 - 9세,5452.0,5392.5,5486.0,5597.0,5474.0
149,남구,여자,10 - 14세,5605.0,5396.0,5383.0,5384.5,5368.0
150,남구,여자,15 - 19세,7574.5,7190.0,6914.0,6607.5,6024.5
151,남구,여자,20 - 24세,9341.0,9023.5,8831.5,8826.5,8805.5
152,남구,여자,25 - 29세,7728.0,7717.0,7826.0,7854.5,7779.0
153,남구,여자,30 - 34세,8321.0,7443.5,7006.0,6897.0,6567.0
154,남구,여자,35 - 39세,9919.5,9695.0,9810.0,9640.5,8734.0
155,남구,여자,40 - 44세,10980.0,10435.5,10059.5,9870.5,9790.5
156,남구,여자,45 - 49세,11709.5,11791.5,11818.5,11687.5,11152.5
157,남구,여자,50 - 54세,11079.0,10509.5,10588.5,10893.5,10950.5
158,남구,여자,55 - 59세,12972.0,12722.5,12480.5,12014.5,11130.5
159,남구,여자,60 - 64세,10693.0,11132.0,11566.0,11940.0,12058.5
160,남구,여자,65 - 69세,8535.0,8773.0,8971.5,9099.0,9423.5
161,남구,여자,70 - 74세,6669.0,6767.0,6967.0,7207.5,7474.5
162,남구,여자,75 - 79세,4895.0,5275.5,5687.0,5913.5,5947.0
163,남구,여자,80 - 84세,2918.5,3126.5,3346.0,3572.5,3759.0
164,남구,여자,85 - 89세,1457.0,1532.0,1629.0,1714.0,1831.0
165,남구,여자,90 - 94세,471.0,534.5,593.0,647.0,688.5
166,남구,여자,95 - 99세,82.0,100.0,108.0,111.0,121.0
167,남구,여자,100세 이상,13.0,17.0,16.5,15.5,19.5
168,북구,남자,0 - 4세,6301.0,6025.5,5531.0,5067.0,4517.5
169,북구,남자,5 - 9세,6017.5,6011.0,5887.0,5756.5,5659.5
170,북구,남자,10 - 14세,6735.5,6336.0,6058.5,5833.0,5649.0
171,북구,남자,15 - 19세,10556.5,9593.0,8641.0,7806.0,6969.5
172,북구,남자,20 - 24세,13117.5,12498.0,11724.5,10929.0,10114.5
173,북구,남자,25 - 29세,10425.5,10743.0,10824.5,10789.0,10613.5
174,북구,남자,30 - 34세,10187.5,9497.5,8784.5,8397.0,8215.5
175,북구,남자,35 - 39세,10877.0,11001.5,10729.5,10209.0,9463.0
176,북구,남자,40 - 44세,11021.0,10539.0,10004.5,9680.5,9546.0
177,북구,남자,45 - 49세,12790.5,12393.0,11854.5,11308.5,10733.5
178,북구,남자,50 - 54세,14145.0,13319.0,12783.0,12559.5,12226.0
179,북구,남자,55 - 59세,14801.0,15145.5,14987.0,14576.5,13873.0
