,sigungu,성별,연령별,2016 년,2017 년,2018 년,2019 년,2020 년
0,부산진구,여자,0 - 4세,6670.0,6239.5,5723.5,5197.0,4758.0
1,부산진구,여자,5 - 9세,6387.5,6357.5,6192.0,6055.5,5989.0
2,부산진구,여자,10 - 14세,6355.0,6091.5,5941.5,5801.0,5766.5
3,부산진구,여자,15 - 19세,8847.5,8296.5,7737.0,7213.0,6730.0
4,부산진구,여자,20 - 24세,13106.5,12719.5,12268.5,11933.0,11915.5
5,부산진구,여자,25 - 29세,13154.0,13418.0,13563.5,13657.5,14275.5
6,부산진구,여자,30 - 34세,13471.0,12538.5,11724.5,11235.0,11324.0
7,부산진구,여자,35 - 39세,13374.5,13408.5,13325.0,12732.5,12029.5
8,부산진구,여자,40 - 44세,13783.0,13039.5,12233.5,11719.0,11743.0
9,부산진구,여자,45 - 49세,14953.0,14919.0,14486.5,13999.5,13609.5
10,부산진구,여자,50 - 54세,15499.5,14672.5,14438.0,14422.0,14442.5
11,부산진구,여자,55 - 59세,17859.0,17892.0,17349.5,16507.5,15702.5
12,부산진구,여자,60 - 64세,14212.0,14747.5,15128.0,15696.0,16272.5
13,부산진구,여자,65 - 69세,10800.5,11125.5,11352.5,11470.5,12116.5
14,부산진구,여자,70 - 74세,8608.5,8483.0,8628.5,8998.5,9453.0
15,부산진구,여자,75 - 79세,7060.0,7511.5,7826.0,7889.5,7770.5
16,부산진구,여자,80 - 84세,4095.5,4378.0,4621.5,4945.5,5307.0
17,부산진구,여자,85 - 89세,1962.5,2105.5,2202.0,2312.0,2516.0
18,부산진구,여자,90 - 94세,604.5,637.0,705.5,799.0,871.5
19,부산진구,여자,95 - 99세,110.5,140.0,159.5,155.5,159.0
20,부산진구,여자,100세 이상,30.5,28.5,24.0,24.0,24.0
21,동래구,여자,0 - 4세,4518.0,4425.5,4145.5,4096.0,4024.0
22,동래구,여자,5 - 9세,5140.5,5246.5,5252.0,5346.5,5541.5
23,동래구,여자,10 - 14세,5707.5,5600.5,5542.0,5506.5,5702.5
24,동래구,여자,15 - 19세,7822.5,7437.5,7029.0,6691.0,6301.0
25,동래구,여자,20 - 24세,8601.5,8382.0,8075.0,7883.0,7705.5
26,동래구,여자,25 - 29세,7820.5,7808.0,7832.5,7909.0,7970.0
27,동래구,여자,30 - 34세,8239.0,7629.5,7079.0,7048.0,7208.0
28,동래구,여자,35 - 39세,9651.5,9797.5,9774.0,9671.5,9392.5
29,동래구,여자,40 - 44세,11010.0,10697.5,10247.0,10077.5,10324.0
30,동래구,여자,45 - 49세,12023.0,12031.0,11832.0,11716.5,11582.0
31,동래구,여자,50 - 54세,11870.0,11328.0,11183.5,11372.0,11505.5
32,동래구,여자,55 - 59세,12949.0,13045.5,12755.5,12332.5,11865.5
33,동래구,여자,60 - 64세,10458.0,10895.5,11183.5,11642.5,11995.5
34,동래구,여자,65 - 69세,7522.0,7965.0,8284.0,8567.5,9206.0
35,동래구,여자,70 - 74세,5427.5,5494.5,5724.5,6095.5,6603.5
36,동래구,여자,75 - 79세,4133.5,4496.0,4787.0,4934.5,4977.0
37,동래구,여자,80 - 84세,2607.0,2736.0,2849.0,3006.0,3193.5
38,동래구,여자,85 - 89세,1333.5,1416.5,1484.5,1571.0,1706.5
39,동래구,여자,90 - 94세,436.5,492.5,515.5,554.0,629.0
40,동래구,여자,95 - 99세,89.0,87.0,102.0,122.0,125.0
41,동래구,여자,100세 이상,11.0,18.0,18.0,19.0,21.0
42,남구,여자,0 - 4세,4768.0,4380.5,4285.0,4226.0,3747.0
43,남구,여자,5 - 9세,5452.0,5392.5,5486.0,5597.0,5474.0
44,남구,여자,10 - 14세,5605.0,5396.0,5383.0,5384.5,5368.0
45,남구,여자,15 - 19세,7574.5,7190.0,6914.0,6607.5,6024.5
