,sigungu,성별,연령별,2016 년,2017 년,2018 년,2019 년,2020 년
0,동구,남자,0 - 4세,1203.5,1127.5,1062.5,1038.5,1018.5
1,동구,남자,5 - 9세,1180.5,1160.5,1122.0,1114.0,1144.0
2,동구,남자,10 - 14세,1355.5,1247.5,1193.0,1132.5,1125.0
3,동구,남자,15 - 19세,2154.0,1979.5,1823.5,1693.0,1574.0
4,동구,남자,20 - 24세,2969.0,2793.5,2588.5,2441.5,2352.0
5,동구,남자,25 - 29세,2681.0,2672.5,2717.5,2808.0,2933.5
6,동구,남자,30 - 34세,2891.5,2651.0,2524.0,2521.0,2613.5
7,동구,남자,35 - 39세,3074.0,3053.5,2999.5,2919.0,2853.5
8,동구,남자,40 - 44세,3338.5,3131.5,2952.5,2848.5,2865.5
9,동구,남자,45 - 49세,3662.5,3724.0,3655.5,3558.5,3476.5
10,동구,남자,50 - 54세,3638.0,3449.0,3375.5,3471.5,3596.5
11,동구,남자,55 - 59세,4272.5,4182.0,4028.0,3877.0,3742.0
12,동구,남자,60 - 64세,3606.5,3761.0,3874.0,3968.5,4084.5
13,동구,남자,65 - 69세,2974.5,3043.0,3051.0,3076.0,3212.5
14,동구,남자,70 - 74세,2348.5,2297.0,2280.0,2349.0,2495.5
15,동구,남자,75 - 79세,1675.5,1781.5,1897.0,1945.5,1942.5
16,동구,남자,80 - 84세,807.5,904.5,975.5,1043.5,1107.5
17,동구,남자,85 - 89세,263.5,284.5,312.0,345.0,383.0
18,동구,남자,90 - 94세,80.0,85.0,91.0,101.0,107.0
19,동구,남자,95 - 99세,9.5,13.0,14.5,13.5,16.0
20,동구,남자,100세 이상,1.0,1.0,1.0,1.5,2.5
21,서구,남자,0 - 4세,1554.5,1474.0,1424.5,1354.0,1232.5
22,서구,남자,5 - 9세,1659.0,1628.5,1673.0,1729.0,1722.5
23,서구,남자,10 - 14세,1908.0,1804.5,1725.0,1658.5,1680.5
24,서구,남자,15 - 19세,2979.5,2664.5,2455.0,2280.0,2066.0
25,서구,남자,20 - 24세,3889.5,3699.0,3529.5,3394.0,3237.5
26,서구,남자,25 - 29세,3374.0,3439.5,3497.0,3479.5,3466.5
27,서구,남자,30 - 34세,3352.0,2964.0,2794.0,2732.0,2680.0
28,서구,남자,35 - 39세,3657.5,3638.0,3613.0,3439.5,3127.0
29,서구,남자,40 - 44세,4082.5,3730.0,3484.0,3355.5,3341.0
30,서구,남자,45 - 49세,4626.0,4551.5,4466.5,4337.0,4148.5
31,서구,남자,50 - 54세,4625.0,4365.0,4285.5,4297.5,4349.5
32,서구,남자,55 - 59세,5355.5,5248.5,5117.0,4951.5,4682.5
33,서구,남자,60 - 64세,4420.5,4517.0,4649.5,4725.0,4761.0
34,서구,남자,65 - 69세,3603.5,3609.5,3615.5,3665.5,3804.0
35,서구,남자,70 - 74세,2721.5,2712.0,2760.0,2852.0,2996.0
36,서구,남자,75 - 79세,1949.0,2052.0,2176.0,2247.5,2236.5
37,서구,남자,80 - 84세,945.5,1042.5,1127.0,1225.0,1341.5
38,서구,남자,85 - 89세,294.0,331.5,371.0,415.0,473.5
39,서구,남자,90 - 94세,85.0,81.5,79.5,94.0,105.0
40,서구,남자,95 - 99세,16.0,21.5,27.5,31.0,30.0
41,서구,남자,100세 이상,1.5,3.0,3.0,1.5,3.0
42,서구,남자,0 - 4세,2999.0,2674.5,2342.5,2050.5,1764.0
43,서구,남자,5 - 9세,2785.0,2691.0,2576.0,2426.0,2314.5
44,서구,남자,10 - 14세,3474.0,3119.5,2826.0,2571.0,2391.0
45,서구,남자,15 - 19세,5778.5,5182.0,4605.0,4091.5,3585.5
46,서구,남자,20 - 24세,8151.5,7586.5,6937.0,6218.5,5574.5
47,서구,남자,25 - 29세,7186.0,7135.0,7089.0,6825.0,6591.5
48,서구,남자,30 - 34세,6919.5,6098.0,5506.0,5178.0,4973.0
49,서구,남자,35 - 39세,6900.5,6586.0,6238.0,5700.5,5115.5
50,서구,남자,40 - 44세,7611.5,7021.5,6389.5,5782.0,5423.0
51,서구,남자,45 - 49세,8842.0,8464.5,7956.0,7413.0,6941.0
52,서구,남자,50 - 54세,9816.0,9309.5,8925.5,8528.0,8116.5
53,서구,남자,55 - 59세,9631.0,9769.0,9678.5,9363.5,9049.5
54,서구,남자,60 - 64세,7392.5,7602.5,7685.0,7842.5,8113.5
55,서구,남자,65 - 69세,5529.5,5742.5,5835.5,5841.5,5994.0
56,서구,남자,70 - 74세,3863.5,3779.5,3849.0,4030.0,4245.0
57,서구,남자,75 - 79세,2583.5,2846.5,3060.5,3079.5,3070.0
58,서구,남자,80 - 84세,1175.5,1310.0,1443.0,1592.0,1699.0
59,서구,남자,85 - 89세,306.0,355.0,398.0,453.0,544.5
60,서구,남자,90 - 94세,66.0,74.5,90.5,104.5,106.0
61,서구,남자,95 - 99세,10.0,11.0,12.5,14.0,14.5
62,서구,남자,100세 이상,1.0,1.0,1.0,0.5,0.0
63,영도구,남자,0 - 4세,1717.5,1591.5,1444.5,1286.5,1099.5
64,영도구,남자,5 - 9세,1903.5,1852.5,1783.0,1712.5,1638.0
65,영도구,남자,10 - 14세,2146.5,1996.0,1903.0,1797.5,1746.0
66,영도구,남자,15 - 19세,3345.0,3091.0,2827.5,2557.0,2244.5
67,영도구,남자,20 - 24세,4265.5,3976.0,3684.0,3473.0,3293.5
68,영도구,남자,25 - 29세,3665.5,3633.0,3583.0,3459.5,3361.0
69,영도구,남자,30 - 34세,3811.5,3464.5,3150.5,2879.0,2674.0
70,영도구,남자,35 - 39세,4086.0,3980.5,3816.0,3561.0,3216.0
71,영도구,남자,40 - 44세,4653.0,4328.5,4010.0,3719.0,3540.5
72,영도구,남자,45 - 49세,5149.5,5034.5,4887.0,4723.5,4490.5
73,영도구,남자,50 - 54세,5196.0,5014.5,4927.5,4856.5,4809.5
74,영도구,남자,55 - 59세,6222.0,6102.0,5890.5,5576.0,5186.0
75,영도구,남자,60 - 64세,5325.5,5483.5,5611.5,5710.0,5714.0
76,영도구,남자,65 - 69세,4192.0,4261.5,4291.5,4332.5,4541.0
77,영도구,남자,70 - 74세,3167.0,3178.5,3249.5,3386.5,3539.0
78,영도구,남자,75 - 79세,2160.0,2369.5,2577.0,2639.0,2639.0
79,영도구,남자,80 - 84세,995.5,1082.0,1190.5,1347.0,1461.0
80,영도구,남자,85 - 89세,278.0,322.0,369.0,422.0,489.0
81,영도구,남자,90 - 94세,70.0,68.0,66.0,76.5,94.0
82,영도구,남자,95 - 99세,13.0,17.0,22.0,23.0,19.0
83,영도구,남자,100세 이상,2.5,2.5,1.5,2.0,2.5
84,남구,남자,0 - 4세,2355.5,2086.5,1869.0,1736.5,1620.5
85,남구,남자,5 - 9세,2376.0,2267.0,2142.0,2079.0,2037.5
86,남구,남자,10 - 14세,2689.5,2533.0,2397.5,2274.5,2176.0
87,남구,남자,15 - 19세,4058.0,3669.5,3382.5,3149.5,2907.0
88,남구,남자,20 - 24세,5788.0,5585.5,5298.5,4914.0,4587.5
89,남구,남자,25 - 29세,5300.5,5329.5,5405.5,5498.5,5631.5
90,남구,남자,30 - 34세,5557.5,5009.5,4606.5,4456.5,4459.0
91,남구,남자,35 - 39세,5444.5,5244.0,5070.5,4856.5,4564.0
92,남구,남자,40 - 44세,5779.0,5337.5,4943.5,4650.0,4598.0
93,남구,남자,45 - 49세,6321.0,6298.0,6143.5,5926.0,5627.5
94,남구,남자,50 - 54세,6060.5,5808.0,5800.0,5906.0,5977.0
95,남구,남자,55 - 59세,6626.0,6644.0,6527.0,6252.5,5982.5
96,남구,남자,60 - 64세,5565.5,5675.5,5785.5,5951.0,6010.0
97,남구,남자,65 - 69세,4294.5,4428.5,4472.0,4475.0,4667.0
98,남구,남자,70 - 74세,3274.0,3171.0,3211.5,3350.5,3521.5
99,남구,남자,75 - 79세,2467.0,2687.5,2873.0,2894.5,2803.0
100,남구,남자,80 - 84세,1409.0,1476.0,1543.5,1659.5,1743.0
101,남구,남자,85 - 89세,457.5,521.5,586.5,657.5,749.0
102,남구,남자,90 - 94세,91.5,108.5,139.0,160.0,168.5
103,남구,남자,95 - 99세,15.5,17.5,18.0,20.5,24.5
