,sigungu,성별,연령별,2016 년,2017 년,2018 년,2019 년,2020 년
126,동구,남자,0 - 4세,1203.5,1127.5,1062.5,1038.5,1018.5
127,동구,남자,5 - 9세,1180.5,1160.5,1122.0,1114.0,1144.0
128,동구,남자,10 - 14세,1355.5,1247.5,1193.0,1132.5,1125.0
129,동구,남자,15 - 19세,2154.0,1979.5,1823.5,1693.0,1574.0
130,동구,남자,20 - 24세,2969.0,2793.5,2588.5,2441.5,2352.0
131,동구,남자,25 - 29세,2681.0,2672.5,2717.5,2808.0,2933.5
132,동구,남자,30 - 34세,2891.5,2651.0,2524.0,2521.0,2613.5
133,동구,남자,35 - 39세,3074.0,3053.5,2999.5,2919.0,2853.5
134,동구,남자,40 - 44세,3338.5,3131.5,2952.5,2848.5,2865.5
135,동구,남자,45 - 49세,3662.5,3724.0,3655.5,3558.5,3476.5
136,동구,남자,50 - 54세,3638.0,3449.0,3375.5,3471.5,3596.5
137,동구,남자,55 - 59세,4272.5,4182.0,4028.0,3877.0,3742.0
138,동구,남자,60 - 64세,3606.5,3761.0,3874.0,3968.5,4084.5
139,동구,남자,65 - 69세,2974.5,3043.0,3051.0,3076.0,3212.5
140,동구,남자,70 - 74세,2348.5,2297.0,2280.0,2349.0,2495.5
141,동구,남자,75 - 79세,1675.5,1781.5,1897.0,1945.5,1942.5
142,동구,남자,80 - 84세,807.5,904.5,975.5,1043.5,1107.5
143,동구,남자,85 - 89세,263.5,284.5,312.0,345.0,383.0
144,동구,남자,90 - 94세,80.0,85.0,91.0,101.0,107.0
145,동구,남자,95 - 99세,9.5,13.0,14.5,13.5,16.0
146,동구,남자,100세 이상,1.0,1.0,1.0,1.5,2.5
147,동구,여자,0 - 4세,1099.0,1028.5,944.0,892.0,878.5
148,동구,여자,5 - 9세,1142.5,1116.0,1075.0,1071.0,1079.0
149,동구,여자,10 - 14세,1207.5,1133.0,1109.0,1084.0,1093.0
150,동구,여자,15 - 19세,1985.5,1846.0,1676.0,1534.5,1431.0
151,동구,여자,20 - 24세,2535.0,2461.0,2384.5,2324.5,2278.0
152,동구,여자,25 - 29세,2398.0,2450.0,2555.0,2664.5,2804.5
153,동구,여자,30 - 34세,2388.5,2191.5,2092.0,2124.5,2281.0
154,동구,여자,35 - 39세,2515.5,2520.5,2470.5,2441.0,2436.5
155,동구,여자,40 - 44세,2821.0,2631.0,2482.0,2372.0,2385.5
156,동구,여자,45 - 49세,3270.0,3225.5,3150.0,3096.0,3034.0
157,동구,여자,50 - 54세,3476.5,3237.5,3133.0,3202.5,3344.0
158,동구,여자,55 - 59세,4519.0,4435.5,4259.5,4030.5,3770.0
159,동구,여자,60 - 64세,4064.5,4143.5,4169.5,4302.0,4423.5
160,동구,여자,65 - 69세,3485.5,3545.5,3535.5,3512.0,3695.0
161,동구,여자,70 - 74세,3009.5,2906.5,2940.5,3038.5,3149.0
162,동구,여자,75 - 79세,2519.5,2659.5,2770.0,2820.0,2817.5
163,동구,여자,80 - 84세,1525.5,1607.0,1683.0,1796.0,1943.5
164,동구,여자,85 - 89세,678.0,744.5,798.5,841.5,929.5
165,동구,여자,90 - 94세,173.0,214.5,260.0,294.5,330.0
166,동구,여자,95 - 99세,38.0,43.0,41.0,42.5,46.5
167,동구,여자,100세 이상,8.0,8.0,8.0,6.5,6.0
84,서구,남자,0 - 4세,1554.5,1474.0,1424.5,1354.0,1232.5
85,서구,남자,5 - 9세,1659.0,1628.5,1673.0,1729.0,1722.5
86,서구,남자,10 - 14세,1908.0,1804.5,1725.0,1658.5,1680.5
87,서구,남자,15 - 19세,2979.5,2664.5,2455.0,2280.0,2066.0
88,서구,남자,20 - 24세,3889.5,3699.0,3529.5,3394.0,3237.5
89,서구,남자,25 - 29세,3374.0,3439.5,3497.0,3479.5,3466.5
90,서구,남자,30 - 34세,3352.0,2964.0,2794.0,2732.0,2680.0
91,서구,남자,35 - 39세,3657.5,3638.0,3613.0,3439.5,3127.0
92,서구,남자,40 - 44세,4082.5,3730.0,3484.0,3355.5,3341.0
93,서구,남자,45 - 49세,4626.0,4551.5,4466.5,4337.0,4148.5
94,서구,남자,50 - 54세,4625.0,4365.0,4285.5,4297.5,4349.5
95,서구,남자,55 - 59세,5355.5,5248.5,5117.0,4951.5,4682.5
96,서구,남자,60 - 64세,4420.5,4517.0,4649.5,4725.0,4761.0
97,서구,남자,65 - 69세,3603.5,3609.5,3615.5,3665.5,3804.0
98,서구,남자,70 - 74세,2721.5,2712.0,2760.0,2852.0,2996.0
99,서구,남자,75 - 79세,1949.0,2052.0,2176.0,2247.5,2236.5
100,서구,남자,80 - 84세,945.5,1042.5,1127.0,1225.0,1341.5
101,서구,남자,85 - 89세,294.0,331.5,371.0,415.0,473.5
102,서구,남자,90 - 94세,85.0,81.5,79.5,94.0,105.0
103,서구,남자,95 - 99세,16.0,21.5,27.5,31.0,30.0
104,서구,남자,100세 이상,1.5,3.0,3.0,1.5,3.0
105,서구,여자,0 - 4세,1424.5,1325.0,1286.0,1237.0,1153.0
106,서구,여자,5 - 9세,1592.0,1553.0,1551.5,1568.5,1574.5
107,서구,여자,10 - 14세,1780.0,1704.0,1693.5,1641.5,1625.5
108,서구,여자,15 - 19세,2745.0,2489.5,2295.5,2160.0,2004.0
109,서구,여자,20 - 24세,3750.0,3630.5,3516.5,3454.5,3444.0
110,서구,여자,25 - 29세,3087.0,3160.5,3258.0,3316.0,3341.0
111,서구,여자,30 - 34세,3084.0,2737.5,2558.0,2479.5,2441.0
112,서구,여자,35 - 39세,3259.5,3277.0,3317.0,3250.0,3018.0
113,서구,여자,40 - 44세,3656.5,3358.0,3179.5,3069.5,3088.5
114,서구,여자,45 - 49세,4110.5,4021.5,3992.0,3954.0,3811.5
115,서구,여자,50 - 54세,4454.5,4131.5,4071.5,4051.5,4006.5
116,서구,여자,55 - 59세,5710.5,5607.5,5368.0,5060.5,4707.0
117,서구,여자,60 - 64세,4892.0,4935.5,5057.5,5232.5,5324.5
118,서구,여자,65 - 69세,4075.5,4104.0,4116.0,4175.0,4403.5
119,서구,여자,70 - 74세,3390.5,3336.5,3361.0,3447.0,3607.5
120,서구,여자,75 - 79세,2861.0,2993.0,3165.5,3203.0,3131.5
121,서구,여자,80 - 84세,1776.0,1839.0,1905.0,2041.5,2188.5
122,서구,여자,85 - 89세,924.5,951.5,960.0,989.0,1071.5
123,서구,여자,90 - 94세,306.0,329.5,370.0,401.5,414.5
124,서구,여자,95 - 99세,57.5,69.0,78.5,88.0,96.0
125,서구,여자,100세 이상,5.0,4.5,8.0,10.0,11.5
840,서구,남자,0 - 4세,2999.0,2674.5,2342.5,2050.5,1764.0
