,sigungu,성별,연령별,2016 년,2017 년,2018 년,2019 년,2020 년
0,동구,여자,0 - 4세,1099.0,1028.5,944.0,892.0,878.5
1,동구,여자,5 - 9세,1142.5,1116.0,1075.0,1071.0,1079.0
2,동구,여자,10 - 14세,1207.5,1133.0,1109.0,1084.0,1093.0
3,동구,여자,15 - 19세,1985.5,1846.0,1676.0,1534.5,1431.0
4,동구,여자,20 - 24세,2535.0,2461.0,2384.5,2324.5,2278.0
5,동구,여자,25 - 29세,2398.0,2450.0,2555.0,2664.5,2804.5
6,동구,여자,30 - 34세,2388.5,2191.5,2092.0,2124.5,2281.0
7,동구,여자,35 - 39세,2515.5,2520.5,2470.5,2441.0,2436.5
8,동구,여자,40 - 44세,2821.0,2631.0,2482.0,2372.0,2385.5
9,동구,여자,45 - 49세,3270.0,3225.5,3150.0,3096.0,3034.0
10,동구,여자,50 - 54세,3476.5,3237.5,3133.0,3202.5,3344.0
11,동구,여자,55 - 59세,4519.0,4435.5,4259.5,4030.5,3770.0
12,동구,여자,60 - 64세,4064.5,4143.5,4169.5,4302.0,4423.5
13,동구,여자,65 - 69세,3485.5,3545.5,3535.5,3512.0,3695.0
14,동구,여자,70 - 74세,3009.5,2906.5,2940.5,3038.5,3149.0
15,동구,여자,75 - 79세,2519.5,2659.5,2770.0,2820.0,2817.5
16,동구,여자,80 - 84세,1525.5,1607.0,1683.0,1796.0,1943.5
17,동구,여자,85 - 89세,678.0,744.5,798.5,841.5,929.5
18,동구,여자,90 - 94세,173.0,214.5,260.0,294.5,330.0
19,동구,여자,95 - 99세,38.0,43.0,41.0,42.5,46.5
20,동구,여자,100세 이상,8.0,8.0,8.0,6.5,6.0
21,서구,여자,0 - 4세,1424.5,1325.0,1286.0,1237.0,1153.0
22,서구,여자,5 - 9세,1592.0,1553.0,1551.5,1568.5,1574.5
23,서구,여자,10 - 14세,1780.0,1704.0,1693.5,1641.5,1625.5
24,서구,여자,15 - 19세,2745.0,2489.5,2295.5,2160.0,2004.0
25,서구,여자,20 - 24세,3750.0,3630.5,3516.5,3454.5,3444.0
26,서구,여자,25 - 29세,3087.0,3160.5,3258.0,3316.0,3341.0
27,서구,여자,30 - 34세,3084.0,2737.5,2558.0,2479.5,2441.0
28,서구,여자,35 - 39세,3259.5,3277.0,3317.0,3250.0,3018.0
29,서구,여자,40 - 44세,3656.5,3358.0,3179.5,3069.5,3088.5
30,서구,여자,45 - 49세,4110.5,4021.5,3992.0,3954.0,3811.5
31,서구,여자,50 - 54세,4454.5,4131.5,4071.5,4051.5,4006.5
