,행정구역별(시군구),빈집비율,빈집수(호),전체주택(호),인구_2020
0,부산광역시 동구,11.6,3902,33775,86801.0
1,부산광역시 서구,10.2,4241,41592,105948.0
2,부산광역시 영도구,10.9,5087,46617,113042.5
3,대구광역시 남구,6.5,2782,42607,145124.0
4,대구광역시 서구,2.9,1505,51379,170922.5
5,인천광역시 강화군,14.5,4260,29323,68662.0
6,인천광역시 옹진군,17.1,1418,8292,20366.5
7,경기도 가평군,15.6,4143,26538,61675.0
8,경기도 연천군,6.9,1182,17241,43104.5
9,강원도 고성군,15.6,1855,11910,26791.5
10,강원도 삼척시,17.2,5293,30818,65623.0
11,강원도 양구군,7.8,643,8275,22379.0
12,강원도 양양군,23.7,3414,14401,27627.5
13,강원도 영월군,11.3,1967,17343,38345.0
14,강원도 정선군,14.3,2456,17137,36313.0
15,강원도 철원군,7.7,1285,16673,44767.5
16,강원도 태백시,15.2,3124,20504,42288.0
17,강원도 평창군,25.2,5504,21801,41489.0
18,강원도 홍천군,13.1,3930,30099,68652.0
19,강원도 화천군,9.9,972,9850,24703.5
20,강원도 횡성군,13.2,2643,20098,46150.0
21,충청북도 괴산군,8.4,1437,17021,38968.0
22,충청북도 단양군,15.2,2107,13898,29143.0
23,충청북도 보은군,15.6,2447,15702,32402.5
24,충청북도 영동군,13.1,2776,21218,47736.5
25,충청북도 옥천군,11.7,2541,21677,50381.0
26,충청북도 제천시,11.6,6722,57840,132882.5
27,충청남도 공주시,13.0,5896,45266,104677.0
28,충청남도 금산군,13.3,3105,23266,51373.0
29,충청남도 논산시,11.9,5825,48936,116625.5
30,충청남도 보령시,12.7,5582,44089,99852.5
31,충청남도 부여군,12.2,3620,29661,65431.0
32,충청남도 서천군,17.5,4479,25647,51820.5
33,충청남도 예산군,15.1,5492,36369,78071.5
34,충청남도 청양군,11.5,1613,14062,31134.0
35,충청남도 태안군,14.8,4279,28832,62050.5
36,전라북도 고창군,15.0,3790,25269,54578.5
37,전라북도 김제시,15.8,5944,37736,82405.0
38,전라북도 남원시,12.9,4524,34965,80653.5
39,전라북도 무주군,15.6,1745,11195,24068.5
40,전라북도 부안군,17.2,4222,24541,52251.0
41,전라북도 순창군,18.1,2375,13135,27930.0
42,전라북도 임실군,14.8,1896,12830,27928.0
43,전라북도 장수군,10.7,1021,9555,22158.5
44,전라북도 정읍시,14.7,7072,48152,108474.0
45,전라북도 진안군,11.3,1235,10908,25360.5
46,전라남도 강진군,18.8,3238,17241,34647.5
47,전라남도 고흥군,18.7,6370,34150,64022.0
48,전라남도 곡성군,15.8,2135,13488,28267.0
49,전라남도 구례군,15.5,1811,11687,25985.0
50,전라남도 담양군,14.0,2585,18485,46033.5
51,전라남도 보성군,14.4,2808,19464,40543.5
52,전라남도 신안군,10.0,1675,16705,39200.5
53,전라남도 영광군,15.3,3534,23083,52970.0
54,전라남도 영암군,21.8,5981,27410,53651.0
55,전라남도 완도군,14.5,3193,22096,50007.0
56,전라남도 장성군,16.7,3138,18761,44714.5
57,전라남도 장흥군,13.9,2465,17679,37858.5
58,전라남도 진도군,13.3,1904,14327,30721.5
59,전라남도 함평군,16.0,2366,14777,32098.0
60,전라남도 해남군,14.3,4492,31350,68999.5
61,전라남도 화순군,18.4,5257,28628,62181.5
62,경상북도 고령군,13.2,1826,13785,31646.5
63,경상북도 군위군,11.9,1315,11043,23384.5
64,경상북도 문경시,12.1,3675,30337,71266.5
65,경상북도 봉화군,13.6,2084,15270,31492.0
66,경상북도 상주시,13.4,5866,43713,98240.5
67,경상북도 성주군,9.4,1595,17038,43399.5
68,경상북도 안동시,14.8,10371,69997,158634.0
69,경상북도 영덕군,15.8,2885,18220,36484.0
70,경상북도 영양군,13.8,1131,8197,16667.0
71,경상북도 영주시,9.3,3927,42345,103452.0
72,경상북도 영천시,14.0,6306,45092,101506.0
73,경상북도 울릉군,5.9,181,3065,9184.5
74,경상북도 울진군,18.5,4449,24069,48710.0
75,경상북도 의성군,14.7,3832,26136,51647.0
76,경상북도 청도군,20.4,4435,21748,42278.5
77,경상북도 청송군,14.9,1857,12493,25051.5
78,경상남도 거창군,14.8,3999,27014,61478.0
79,경상남도 고성군,17.1,4090,23984,51428.0
80,경상남도 남해군,21.5,4929,22950,43004.5
81,경상남도 밀양시,15.0,7382,49162,104300.5
82,경상남도 산청군,17.3,2938,16934,34845.0
83,경상남도 의령군,17.5,2366,13482,26832.0
84,경상남도 창녕군,14.5,4054,28031,61341.5
85,경상남도 하동군,13.5,2748,20413,45389.5
86,경상남도 함안군,12.3,3432,28005,64502.0
87,경상남도 함양군,17.0,3217,18891,39045.0
88,경상남도 합천군,20.5,4794,23435,44159.5
