"행정구역별(시군구)",2020,2020,2020
"부산광역시 중구",16.2,2781,17170
"부산광역시 서구",10.2,4241,41592
"부산광역시 동구",11.6,3902,33775
"부산광역시 영도구",10.9,5087,46617
"부산광역시 부산진구",10.9,15483,141650
"부산광역시 동래구",6.5,6145,94561
"부산광역시 남구",12.7,13789,108223
"부산광역시 북구",5.8,6176,106250
"부산광역시 해운대구",8.3,12221,146373
"부산광역시 사하구",7.6,8922,117701
"부산광역시 금정구",8.8,7670,86739
"부산광역시 강서구",9.5,4554,48150
"부산광역시 연제구",6.6,4955,75081
"부산광역시 수영구",10.0,6963,69748
"부산광역시 사상구",5.4,4136,76688
"부산광역시 기장군",9.7,6385,65541
"대구광역시 중구",6.8,1744,25584
"대구광역시 동구",5.5,6747,123199
"대구광역시 서구",2.9,1505,51379
"대구광역시 남구",6.5,2782,42607
"대구광역시 북구",4.6,6767,147686
"대구광역시 수성구",4.2,5719,136996
"대구광역시 달서구",3.1,5764,184756
"대구광역시 달성군",8.2,8041,97595
"인천광역시 중구",9.2,4690,50974
"인천광역시 동구",7.9,1946,24518
"인천광역시 연수구",5.3,6790,127407
"인천광역시 남동구",6.0,11179,187149
"인천광역시 부평구",5.1,8677,168544
"인천광역시 계양구",5.1,5420,107004
"인천광역시 서구",4.9,9033,182797
"인천광역시 미추홀구",8.5,12448,146766
"인천광역시 강화군",14.5,4260,29323
"인천광역시 옹진군",17.1,1418,8292
"광주광역시 동구",11.5,4600,40108
"광주광역시 서구",6.4,6773,106173
"광주광역시 남구",8.1,6524,80737
"광주광역시 북구",7.8,12735,162768
"광주광역시 광산구",7.4,10953,148489
"대전광역시 동구",5.6,4456,79262
"대전광역시 중구",5.0,4080,82051
"대전광역시 서구",4.2,6387,153397
"대전광역시 유성구",6.2,7363,119063
"대전광역시 대덕구",7.4,4697,63102
"울산광역시 중구",6.0,4264,70794
"울산광역시 남구",7.9,8722,110405
"울산광역시 동구",6.9,3721,53662
"울산광역시 북구",6.7,5128,76593
"울산광역시 울주군",10.1,8406,83180
"경기도 수원시",3.6,13387,372228
"경기도 장안구",3.7,3184,85399
"경기도 권선구",3.6,4329,118970
"경기도 팔달구",5.5,3176,58005
"경기도 영통구",2.5,2698,109854
"경기도 성남시",2.0,5252,262573
"경기도 수정구",2.7,1721,64003
"경기도 중원구",1.6,985,59742
"경기도 분당구",1.8,2546,138828
"경기도 의정부시",5.0,7875,157778
"경기도 안양시",5.6,9955,178613
"경기도 만안구",6.0,4665,77113
"경기도 동안구",5.2,5290,101500
"경기도 부천시",4.8,12930,271570
"경기도 광명시",7.3,7580,103493
"경기도 평택시",16.1,35395,219871
"경기도 동두천시",10.1,3811,37755
"경기도 안산시",7.8,17216,220241
"경기도 상록구",9.8,11152,114069
"경기도 단원구",5.7,6064,106172
"경기도 고양시",3.5,11809,334425
"경기도 덕양구",4.4,6888,158223
"경기도 일산동구",3.3,2694,82011
"경기도 일산서구",2.4,2227,94191
"경기도 과천시",1.5,224,14819
"경기도 구리시",3.3,2004,60554
"경기도 남양주시",5.1,12272,240547
"경기도 오산시",5.9,4886,82323
"경기도 시흥시",7.7,13811,179205
"경기도 군포시",3.1,2866,91152
"경기도 의왕시",7.4,4277,57799
"경기도 하남시",3.7,3106,84875
"경기도 용인시",3.8,13346,349222
"경기도 처인구",7.1,6526,91311
"경기도 기흥구",3.0,4191,139863
"경기도 수지구",2.2,2629,118048
"경기도 파주시",6.8,10965,160504
"경기도 이천시",9.0,7052,78117
"경기도 안성시",11.4,8747,76636
"경기도 김포시",4.7,7458,159766
"경기도 화성시",7.9,23817,300372
"경기도 광주시",5.5,6995,128175
"경기도 양주시",7.4,6329,85563
"경기도 포천시",8.3,4547,55033
"경기도 여주시",9.2,3824,41610
"경기도 연천군",6.9,1182,17241
"경기도 가평군",15.6,4143,26538
"경기도 양평군",11.4,5297,46517
"강원도 춘천시",8.4,8682,103078
"강원도 원주시",12.2,17457,142591
"강원도 강릉시",11.8,10300,87579
"강원도 동해시",16.8,6923,41116
"강원도 태백시",15.2,3124,20504
"강원도 속초시",15.5,5833,37736
"강원도 삼척시",17.2,5293,30818
"강원도 홍천군",13.1,3930,30099
"강원도 횡성군",13.2,2643,20098
"강원도 영월군",11.3,1967,17343
"강원도 평창군",25.2,5504,21801
"강원도 정선군",14.3,2456,17137
"강원도 철원군",7.7,1285,16673
"강원도 화천군",9.9,972,9850
"강원도 양구군",7.8,643,8275
"강원도 인제군",14.0,1825,13014
"강원도 고성군",15.6,1855,11910
"강원도 양양군",23.7,3414,14401
"충청북도 충주시",15.6,14524,93399
"충청북도 제천시",11.6,6722,57840
"충청북도 청주시",9.4,28333,302927
"충청북도 상당구",11.1,7836,70670
"충청북도 서원구",8.7,6315,72483
"충청북도 흥덕구",8.6,7874,91126
"충청북도 청원구",9.2,6308,68648
"충청북도 보은군",15.6,2447,15702
"충청북도 옥천군",11.7,2541,21677
"충청북도 영동군",13.1,2776,21218
"충청북도 진천군",17.1,6567,38332
"충청북도 괴산군",8.4,1437,17021
"충청북도 음성군",17.3,7436,42939
"충청북도 단양군",15.2,2107,13898
"충청북도 증평군",13.0,1987,15303
"충청남도 천안시",10.1,24730,244364
"충청남도 동남구",10.7,10636,99254
"충청남도 서북구",9.7,14094,145110
"충청남도 공주시",13.0,5896,45266
"충청남도 보령시",12.7,5582,44089
"충청남도 아산시",12.5,15826,126319
"충청남도 서산시",12.9,9457,73069
