"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2021","임실군","계",26876.5,662.5,651,806.5,815,1004.5,983,896,963,1190.5,1539.5,2102.5,2455,2821.5,2273.5,2246.5,1989,3477,1924.5,1552.5,1098.5,380,60,14
"2021","순창군","계",27208.5,670,724,1039,1144,1116,871,817,1051,1368.5,1813,2145.5,2270.5,2753,2172.5,2039,2010,3204.5,1840,1364.5,956,325,70,13.5
"2021","고창군","계",53647.5,1025,1547,1895.5,2250,2293.5,1854.5,1623,2050,2524.5,3413,4222,4619,5485,4377,4231.5,3983,6254,3435.5,2818.5,1945.5,708,143,22
"2021","부안군","계",51137,983,1471,1674,1938.5,2300.5,1825.5,1618,2113.5,2560,3314,4029.5,4583.5,5363,4367,4095.5,3561.5,5339,2941.5,2397.5,1744.5,549.5,85.5,18
"2021","보성군","계",39667.5,686,950,1187.5,1352.5,1642,1213.5,1062.5,1332,1757,2233,3002.5,3527.5,4151,3485.5,3358,3147,5580,3101.5,2478.5,1712.5,613,132,21
"2021","장흥군","계",36939.5,814,1109.5,1233,1471.5,1649.5,1318,1181,1447,1719.5,2219,2926.5,3243,3706.5,2932.5,2810.5,2568.5,4590,2477,2113,1459.5,528,114,11.5
"2021","강진군","계",33967,695.5,953,1190.5,1266.5,1543.5,1235.5,1040.5,1286,1566,2058,2502,3019,3580,2716,2663.5,2464,4187.5,2387,1800.5,1234.5,485.5,72.5,8
"2021","해남군","계",67596.5,1783.5,2017.5,2416,2702.5,3042,2404.5,2096.5,2702,3419,4341,5329,6033,7006.5,5448,5124.5,4778,6953,4072,2881,2015,701,142.5,22.5
"2021","신안군","계",38280.5,652,834,918,1077,1374,1269.5,1120.5,1425.5,1789,2362,3059.5,3827,4290.5,3459,3188,3095,4540,2702.5,1837.5,1328.5,408,91.5,9.5
"2021","고령군","계",30839,572,795,930,1042.5,1324.5,1091.5,944.5,1196.5,1517.5,2136.5,2645.5,3123,3505,2893.5,2260,1845,3016.5,1708.5,1308,979,270.5,54,4.5
"2021","울릉군","계",8847,163.5,221,227,231,389,429,353.5,454,544.5,692,853.5,936.5,1020.5,744,574.5,456,557.5,311.5,246,171,60,13,2
"2021","하동군","계",43882.5,723.5,1007,1343,1433,1801,1439.5,1225,1398.5,1862,2850,3904,4266,5049,4050.5,3328,2982,5220.5,2788,2432.5,1659.5,636,122.5,14.5
"2021","합천군","계",43105,601,914,1142.5,1235.5,1576,1313,1045,1382.5,1739.5,2338,3335.5,4001,5092,4181.5,3623.5,3433.5,6151,3436,2715,1995.5,586.5,113.5,19.5
