sigungu,hospital_total,hs_1,hs_2,hs_3,hs_h,sido,pop,hp_bin_t,hp_bin_1,hp_bin_2,hp_bin_3,hp_bin_h,sig_cd
강원도 고성군,0.0,0.0,0.0,0.0,0.0,강원도,41106.5,0~14,0~4,0~5,0~0.5,0~9,42820
강원도 삼척시,10.810616024936488,3.603538674978829,3.603538674978829,0.0,3.603538674978829,강원도,27750.5,0~14,0~4,0~5,0~0.5,0~9,42230
강원도 양구군,4.69388074413656,4.69388074413656,0.0,0.0,0.0,강원도,63913.0,0~14,4.6~9,0~5,0~0.5,0~9,42800
강원도 양양군,0.0,0.0,0.0,0.0,0.0,강원도,68425.5,0~14,0~4,0~5,0~0.5,0~9,42830
강원도 영월군,6.49575610601074,2.165252035336913,2.165252035336913,0.0,2.165252035336913,강원도,46184.0,0~14,0~4,0~5,0~0.5,0~9,42750
강원도 정선군,5.274678903921724,5.274678903921724,0.0,0.0,0.0,강원도,37917.0,0~14,4.6~9,0~5,0~0.5,0~9,42770
강원도 철원군,4.870801977545603,2.4354009887728014,0.0,0.0,2.4354009887728014,강원도,41061.0,0~14,0~4,0~5,0~0.5,0~9,42780
강원도 태백시,7.45003818144568,3.72501909072284,3.72501909072284,0.0,0.0,강원도,26845.5,0~14,0~4,0~5,0~0.5,0~9,42190
강원도 평창군,5.584876155371255,0.0,0.0,0.0,5.584876155371255,강원도,35811.0,0~14,0~4,0~5,0~0.5,0~9,42760
강원도 홍천군,13.713031951364448,4.571010650454816,2.285505325227408,0.0,6.856515975682224,강원도,43754.0,0~14,0~4,0~5,0~0.5,0~9,42720
강원도 화천군,0.0,0.0,0.0,0.0,0.0,강원도,24399.0,0~14,0~4,0~5,0~0.5,0~9,42790
강원도 횡성군,9.127627045158935,4.563813522579467,0.0,0.0,4.563813522579467,강원도,21911.5,0~14,0~4,0~5,0~0.5,0~9,42730
경기도 가평군,14.057612783055891,4.685870927685297,0.0,0.0,9.371741855370594,경기도,42681.5,0~14,4.6~9,0~5,0~0.5,9.1~18,41820
경기도 연천군,1.6190530158910055,0.0,0.0,0.0,1.6190530158910055,경기도,61764.5,0~14,0~4,0~5,0~0.5,0~9,41800
경상남도 거창군,5.79853007262659,2.899265036313295,0.0,0.0,2.899265036313295,경상남도,103474.5,0~14,0~4,0~5,0~0.5,0~9,48880
경상남도 고성군,15.119729356844513,7.559864678422256,0.0,0.0,7.559864678422256,경상남도,26455.5,14.1~28,4.6~9,0~5,0~0.5,0~9,48820
