,sido,sigungu,2016,2017,2018,2019,2020
2,부산광역시,중구,21.7,22.8,21.4,22.2,23.6
6,부산광역시,부산진구,21.3,22.8,20.3,20.0,19.8
7,부산광역시,동래구,21.4,21.1,20.7,20.7,20.1
8,부산광역시,남구,23.2,23.3,24.8,22.8,19.7
9,부산광역시,북구,13.9,14.2,14.0,13.3,12.5
10,부산광역시,해운대구,27.4,28.6,28.3,27.4,30.0
11,부산광역시,사하구,17.9,18.6,18.6,16.7,18.1
12,부산광역시,금정구,19.8,19.4,19.3,17.6,16.5
13,부산광역시,강서구,45.6,49.8,48.1,47.7,45.0
14,부산광역시,연제구,18.8,20.4,20.5,19.2,16.9
15,부산광역시,수영구,18.6,18.6,19.5,18.4,18.4
16,부산광역시,사상구,20.7,20.8,20.3,19.0,19.9
17,부산광역시,기장군,31.5,32.7,33.3,32.1,30.6
19,대구광역시,중구,26.5,26.8,25.8,25.6,25.2
20,대구광역시,동구,16.9,17.9,17.0,16.9,17.9
23,대구광역시,북구,19.8,19.9,17.9,17.4,18.0
24,대구광역시,수성구,25.3,25.8,25.8,28.1,25.5
25,대구광역시,달서구,24.4,23.7,23.1,22.6,22.4
26,대구광역시,달성군,26.8,25.9,28.1,27.6,27.9
28,인천광역시,중구,43.2,46.5,42.0,42.0,45.2
29,인천광역시,동구,13.7,13.4,10.4,9.0,11.5
31,인천광역시,연수구,35.2,33.1,32.9,31.9,33.1
32,인천광역시,남동구,27.3,26.1,24.5,22.8,21.6
33,인천광역시,부평구,20.2,19.7,18.9,18.2,17.4
34,인천광역시,계양구,19.9,19.6,18.3,16.8,15.2
35,인천광역시,서구,36.6,36.7,33.4,33.2,31.9
40,광주광역시,동구,13.4,14.0,13.6,11.7,13.8
41,광주광역시,서구,20.7,21.9,20.4,20.1,19.0
42,광주광역시,남구,12.6,12.8,12.3,11.9,11.4
43,광주광역시,북구,13.6,14.1,13.7,13.8,13.9
44,광주광역시,광산구,20.0,20.3,19.6,20.0,20.5
46,대전광역시,동구,12.5,12.2,11.5,10.8,11.0
47,대전광역시,중구,15.3,14.9,13.6,12.4,13.0
48,대전광역시,서구,20.1,20.0,18.8,17.6,17.6
49,대전광역시,유성구,31.0,30.9,29.3,27.6,27.2
50,대전광역시,대덕구,17.7,16.8,16.1,15.0,14.8
52,울산광역시,중구,15.9,16.9,18.0,15.6,16.6
53,울산광역시,남구,33.3,32.4,31.2,31.9,28.4
54,울산광역시,동구,25.5,23.1,20.7,18.6,18.6
55,울산광역시,북구,28.9,31.4,28.9,28.8,26.7
56,울산광역시,울주군,34.6,34.4,39.9,38.7,37.7
58,경기도,수원시,51.4,51.9,49.3,48.1,45.9
59,경기도,성남시,56.8,58.7,59.2,58.1,60.5
60,경기도,의정부시,30.0,30.6,28.3,26.6,25.0
61,경기도,안양시,43.8,45.2,40.7,39.4,37.8
62,경기도,부천시,38.1,38.6,37.1,34.4,30.9
63,경기도,광명시,38.3,40.0,35.7,35.0,34.0
64,경기도,평택시,41.0,42.1,45.6,45.9,41.5
65,경기도,동두천시,14.7,13.5,14.2,12.7,14.4
66,경기도,안산시,42.9,44.6,39.5,40.2,37.8
67,경기도,고양시,45.4,46.1,42.1,38.7,33.8
68,경기도,과천시,40.4,43.4,39.5,43.1,40.8
69,경기도,구리시,32.1,34.8,34.5,31.4,31.1
70,경기도,남양주시,35.6,35.4,32.0,32.8,30.1
71,경기도,오산시,33.0,37.7,33.1,29.6,30.4
72,경기도,시흥시,49.5,54.6,43.7,43.4,43.1
73,경기도,군포시,38.8,37.5,36.3,34.1,32.0
74,경기도,의왕시,39.6,41.5,40.5,37.3,36.2
75,경기도,하남시,45.5,45.6,44.1,43.5,45.7
76,경기도,용인시,54.8,58.1,55.5,53.0,50.2
77,경기도,파주시,39.4,38.3,34.9,31.5,33.5
78,경기도,이천시,47.5,43.8,51.4,55.6,43.9
79,경기도,안성시,34.4,34.2,32.0,32.5,27.6
80,경기도,김포시,44.9,44.8,40.4,37.7,35.4
81,경기도,화성시,61.5,64.3,60.1,68.9,66.3
82,경기도,광주시,49.4,51.6,43.6,41.0,39.9
83,경기도,양주시,33.8,33.2,33.0,28.7,26.8
84,경기도,포천시,26.3,31.8,27.3,26.8,22.1
85,경기도,여주시,30.8,31.1,28.9,23.7,23.9
88,경기도,양평군,20.5,22.4,20.0,17.7,18.3
90,강원도,춘천시,24.2,25.4,23.7,22.3,21.3
91,강원도,원주시,23.3,24.9,23.2,23.4,19.8
92,강원도,강릉시,17.1,18.7,18.2,17.4,17.8
93,강원도,동해시,19.5,20.2,19.6,18.6,16.7
95,강원도,속초시,18.1,17.9,18.4,18.0,17.3
105,강원도,인제군,7.8,9.1,7.8,7.4,9.0
109,충청북도,충주시,18.6,19.4,18.2,18.2,18.2
111,충청북도,청주시,30.0,33.2,33.4,31.9,29.5
115,충청북도,진천군,26.9,26.9,26.9,25.0,27.0
117,충청북도,음성군,21.9,23.3,23.8,23.0,25.2
119,충청북도,증평군,14.8,15.1,13.3,13.5,15.6
121,충청남도,천안시,41.1,43.0,40.1,38.0,37.0
124,충청남도,아산시,42.1,42.6,43.1,35.8,37.7
125,충청남도,서산시,22.4,28.4,30.3,28.2,24.7
127,충청남도,계룡시,15.3,18.1,16.7,14.8,18.1
128,충청남도,당진시,28.5,31.3,28.9,28.3,25.9
133,충청남도,홍성군,13.2,14.1,14.1,13.5,14.8
137,전라북도,전주시,30.4,29.8,29.2,28.9,26.9
138,전라북도,군산시,24.5,22.8,23.6,20.2,18.7
139,전라북도,익산시,17.2,17.8,16.7,16.7,16.8
143,전라북도,완주군,24.2,23.3,21.2,20.3,18.1
152,전라남도,목포시,20.7,21.0,20.7,18.7,19.2
153,전라남도,여수시,25.7,30.1,31.2,33.8,27.0
154,전라남도,순천시,19.5,19.5,21.1,18.9,19.2
155,전라남도,나주시,16.1,21.5,20.6,18.4,18.7
156,전라남도,광양시,31.2,31.3,26.5,24.6,24.3
167,전라남도,무안군,11.6,12.7,13.3,11.9,14.7
175,경상북도,포항시,32.7,30.9,30.7,28.1,24.6
176,경상북도,경주시,20.8,22.7,24.7,22.2,19.6
177,경상북도,김천시,14.1,14.2,13.3,14.8,13.4
179,경상북도,구미시,40.9,43.7,43.5,40.5,37.9
184,경상북도,경산시,25.5,25.1,27.4,25.0,24.6
193,경상북도,칠곡군,21.9,23.9,24.5,24.0,23.0
194,경상북도,예천군,7.5,8.0,8.8,9.2,10.2
199,경상남도,진주시,21.6,23.4,23.3,21.1,21.0
200,경상남도,통영시,16.5,16.7,16.1,13.9,12.6
201,경상남도,사천시,15.7,15.5,15.4,15.0,16.5
202,경상남도,김해시,35.2,35.2,36.3,34.4,31.7
204,경상남도,거제시,34.3,32.4,27.9,27.0,19.6
205,경상남도,양산시,32.0,36.9,35.9,33.6,29.9
206,경상남도,창원시,39.7,41.0,39.8,36.7,34.8
36,인천광역시,미추홀구,17.2,17.8,16.5,15.8,14.9
