,sido,sigungu,2016,2017,2018,2019,2020
4,부산광역시,부산 동구,14.8,15.3,15.3,15.6,15.8
3,부산광역시,부산 서구,10.3,11.4,11.6,11.7,12.2
21,대구광역시,대구 서구,14.9,13.7,13.7,13.1,13.7
5,부산광역시,부산 영도구,9.7,9.9,9.7,9.5,9.1
22,대구광역시,대구 남구,9.4,9.4,9.5,9.5,11.0
37,인천광역시,인천 강화군,11.7,11.6,11.0,12.6,14.5
38,인천광역시,인천 옹진군,8.9,9.8,9.2,7.8,9.0
87,경기도,가평군,19.0,18.8,19.7,18.3,18.0
86,경기도,연천군,20.4,20.1,17.9,16.4,18.3
106,강원도,강원 고성군,9.2,9.1,8.9,9.4,8.6
210,경상남도,경남 고성군,9.7,10.0,10.7,11.3,11.3
96,강원도,삼척시,15.8,15.3,15.1,14.0,13.5
104,강원도,양구군,7.8,7.5,7.1,6.8,8.1
107,강원도,양양군,9.8,12.8,12.3,11.7,14.1
99,강원도,영월군,16.2,15.5,14.6,15.1,15.2
101,강원도,정선군,25.8,25.5,23.7,22.3,21.5
102,강원도,철원군,8.6,8.8,8.1,8.3,8.5
94,강원도,태백시,22.3,21.6,21.7,17.5,18.5
100,강원도,평창군,11.6,11.8,12.6,12.1,11.5
97,강원도,홍천군,14.2,13.6,13.2,12.6,12.1
103,강원도,화천군,8.0,8.2,7.5,7.4,8.8
98,강원도,횡성군,11.0,11.0,10.0,9.4,11.4
116,충청북도,괴산군,7.7,8.0,8.1,7.3,8.6
118,충청북도,단양군,10.7,10.5,9.5,10.1,11.6
112,충청북도,보은군,7.9,7.8,8.1,7.7,9.5
114,충청북도,영동군,9.4,7.5,6.8,6.7,8.1
113,충청북도,옥천군,9.9,10.4,10.0,9.8,11.4
110,충청북도,제천시,15.4,16.8,15.8,15.0,15.3
122,충청남도,공주시,14.8,14.2,15.4,13.9,12.5
129,충청남도,금산군,13.9,14.4,13.8,12.9,12.6
126,충청남도,논산시,11.5,11.9,11.2,11.0,11.4
123,충청남도,보령시,13.8,15.7,15.2,14.7,13.6
130,충청남도,부여군,8.9,8.8,9.5,9.2,9.1
131,충청남도,서천군,9.0,9.1,9.2,9.0,10.1
134,충청남도,예산군,12.3,12.9,12.1,11.6,12.7
132,충청남도,청양군,10.1,9.5,11.5,9.2,10.2
135,충청남도,태안군,15.1,15.6,13.9,13.9,13.0
149,전라북도,고창군,8.8,8.1,7.6,7.4,7.5
142,전라북도,김제시,10.3,9.8,11.3,9.0,9.7
141,전라북도,남원시,9.6,9.3,8.6,7.7,9.1
145,전라북도,무주군,7.9,7.7,7.5,7.0,8.5
150,전라북도,부안군,7.4,7.0,6.3,6.5,9.2
148,전라북도,순창군,7.5,7.2,6.3,6.5,8.7
147,전라북도,임실군,6.2,7.1,5.1,5.7,8.5
146,전라북도,장수군,6.2,6.1,5.7,5.1,7.7
140,전라북도,정읍시,10.1,9.4,9.2,8.5,9.5
144,전라북도,진안군,6.2,5.5,5.9,5.0,7.1
164,전라남도,강진군,7.7,7.0,7.0,5.9,7.8
160,전라남도,고흥군,6.1,6.2,6.0,6.2,7.1
158,전라남도,곡성군,7.8,7.7,7.1,7.1,9.5
159,전라남도,구례군,6.6,7.1,6.3,6.4,7.3
157,전라남도,담양군,10.5,11.5,12.0,12.3,12.3
161,전라남도,보성군,6.6,6.6,5.8,5.3,6.3
173,전라남도,신안군,5.8,5.8,6.0,6.2,6.6
169,전라남도,영광군,10.2,12.8,13.1,10.2,10.5
166,전라남도,영암군,13.7,14.8,14.0,12.4,13.0
171,전라남도,완도군,7.3,7.5,7.2,6.5,6.3
170,전라남도,장성군,8.7,8.7,8.9,9.4,11.8
163,전라남도,장흥군,6.6,7.9,7.3,6.7,8.3
172,전라남도,진도군,4.8,6.5,7.4,7.4,8.1
168,전라남도,함평군,7.7,6.9,6.9,6.8,8.5
165,전라남도,해남군,6.4,6.5,7.9,6.2,7.4
162,전라남도,화순군,18.4,18.4,18.0,18.1,16.6
191,경상북도,고령군,10.9,13.1,13.1,12.9,11.7
185,경상북도,군위군,5.7,5.6,5.7,5.2,7.4
183,경상북도,문경시,13.8,13.1,12.3,11.9,11.3
195,경상북도,봉화군,6.0,6.0,5.7,5.1,6.2
182,경상북도,상주시,8.7,8.9,9.1,8.5,8.4
192,경상북도,성주군,10.1,10.4,10.7,9.7,12.2
178,경상북도,안동시,12.4,12.6,11.2,11.1,10.6
189,경상북도,영덕군,8.8,8.4,7.3,7.6,8.8
188,경상북도,영양군,4.1,4.2,4.1,4.0,6.1
180,경상북도,영주시,14.0,11.2,11.3,10.6,11.5
181,경상북도,영천시,14.9,15.6,14.8,14.2,15.4
197,경상북도,울릉군,10.5,10.6,10.5,10.0,8.4
196,경상북도,울진군,10.2,11.4,11.9,9.8,10.7
186,경상북도,의성군,7.2,6.9,7.2,7.5,8.9
190,경상북도,청도군,9.0,8.6,8.9,8.4,10.3
187,경상북도,청송군,6.0,6.0,6.3,5.7,7.8
215,경상남도,거창군,7.6,7.7,7.7,8.1,8.9
211,경상남도,남해군,8.0,7.5,7.5,6.1,8.8
203,경상남도,밀양시,14.9,15.7,15.3,14.4,13.7
213,경상남도,산청군,9.6,8.8,8.7,7.4,8.9
207,경상남도,의령군,9.6,7.8,7.6,7.5,7.7
209,경상남도,창녕군,10.7,11.1,11.0,10.5,12.5
212,경상남도,하동군,7.9,7.7,7.7,7.1,8.0
208,경상남도,함안군,18.7,19.5,18.2,16.0,16.8
214,경상남도,함양군,7.2,6.6,5.8,5.5,10.0
216,경상남도,합천군,7.7,7.5,7.6,7.1,8.8
