"행정구역별(1)",행정구역별(2),2016,2017,2018,2019,2020
"행정구역별(1)",행정구역별(2),재정자립도(세입과목개편후),재정자립도(세입과목개편후),재정자립도(세입과목개편후),재정자립도(세입과목개편후),재정자립도(세입과목개편후)
"부산광역시",소계,50.9,52.9,52.3,50.0,49.2
"부산광역시",중구,21.7,22.8,21.4,22.2,23.6
"부산광역시",서구,10.3,11.4,11.6,11.7,12.2
"부산광역시",동구,14.8,15.3,15.3,15.6,15.8
"부산광역시",영도구,9.7,9.9,9.7,9.5,9.1
"부산광역시",부산진구,21.3,22.8,20.3,20.0,19.8
"부산광역시",동래구,21.4,21.1,20.7,20.7,20.1
"부산광역시",남구,23.2,23.3,24.8,22.8,19.7
"부산광역시",북구,13.9,14.2,14.0,13.3,12.5
"부산광역시",해운대구,27.4,28.6,28.3,27.4,30.0
"부산광역시",사하구,17.9,18.6,18.6,16.7,18.1
"부산광역시",금정구,19.8,19.4,19.3,17.6,16.5
"부산광역시",강서구,45.6,49.8,48.1,47.7,45.0
"부산광역시",연제구,18.8,20.4,20.5,19.2,16.9
"부산광역시",수영구,18.6,18.6,19.5,18.4,18.4
"부산광역시",사상구,20.7,20.8,20.3,19.0,19.9
"부산광역시",기장군,31.5,32.7,33.3,32.1,30.6
"대구광역시",소계,50.6,49.9,47.6,45.9,45.4
"대구광역시",중구,26.5,26.8,25.8,25.6,25.2
"대구광역시",동구,16.9,17.9,17.0,16.9,17.9
"대구광역시",서구,14.9,13.7,13.7,13.1,13.7
"대구광역시",남구,9.4,9.4,9.5,9.5,11.0
"대구광역시",북구,19.8,19.9,17.9,17.4,18.0
"대구광역시",수성구,25.3,25.8,25.8,28.1,25.5
"대구광역시",달서구,24.4,23.7,23.1,22.6,22.4
"대구광역시",달성군,26.8,25.9,28.1,27.6,27.9
"인천광역시",소계,62.5,60.5,60.3,57.7,54.0
"인천광역시",중구,43.2,46.5,42.0,42.0,45.2
"인천광역시",동구,13.7,13.4,10.4,9.0,11.5
"인천광역시",남구,17.2,17.8,-,-,-
"인천광역시",연수구,35.2,33.1,32.9,31.9,33.1
"인천광역시",남동구,27.3,26.1,24.5,22.8,21.6
"인천광역시",부평구,20.2,19.7,18.9,18.2,17.4
"인천광역시",계양구,19.9,19.6,18.3,16.8,15.2
"인천광역시",서구,36.6,36.7,33.4,33.2,31.9
"인천광역시",미추홀구,-,-,16.5,15.8,14.9
"인천광역시",강화군,11.7,11.6,11.0,12.6,14.5
"인천광역시",옹진군,8.9,9.8,9.2,7.8,9.0
"광주광역시",소계,46.7,44.8,43.8,40.8,41.1
