,sigungu,2016,2017,2018,2019,2020,2016_2017,2017_2018,2018_2019,2019_2020
0,부산시 서구,9591,9261,9169,8407,9768,-3.440725680325305,-0.9934132383111974,-8.310611844257826,16.188890210538837
1,부산시 서구,11813,11146,10021,10114,10537,-5.646321848810632,-10.093307015969854,0.9280510927053188,4.182321534506625
2,부산시 영도구,19800,20059,19343,20316,17948,1.308080808080808,-3.5694700633132257,5.030243498940186,-11.65583776333924
3,부산시 동구,8953,8549,8563,8108,8560,-4.5124539260583045,0.1637618434904667,-5.313558332360154,5.574740996546621
4,대구시 서구,19971,18458,18386,18595,19082,-7.575985178508837,-0.39007476432982985,1.1367344718807788,2.6189835977413285
5,대구시 남구,4782,4615,5018,4743,5413,-3.4922626516102047,8.732394366197182,-5.480271024312476,14.12608053974278
6,인천시 강화군,3155,3190,3378,3351,3128,1.109350237717908,5.893416927899686,-0.7992895204262878,-6.6547299313637716
7,가평군,5963,5737,6051,6156,6077,-3.790038571188999,5.473243855673697,1.7352503718393655,-1.2833008447043535
8,인천시 옹진군,4309,4540,4613,4363,4044,5.360872592248782,1.6079295154185023,-5.4194667244743115,-7.31148292459317
9,강원도 고성군,4191,4885,4451,3218,2898,16.559293724648054,-8.884339815762539,-27.7016400808807,-9.944064636420137
10,경남 고성군,4049,3879,4034,3970,4011,-4.198567547542603,3.9958752255736014,-1.5865146256817053,1.0327455919395465
11,삼척시,6696,6140,5868,5822,5963,-8.303464755077657,-4.429967426710098,-0.7839127471029312,2.4218481621435934
12,양구군,2908,2900,2854,2937,2721,-0.2751031636863824,-1.5862068965517242,2.908199018920813,-7.354443309499489
13,강원도 고성군,2772,2746,2558,2504,2569,-0.937950937950938,-6.846321922796796,-2.111024237685692,2.5958466453674123
14,영월군,3849,3705,3911,3533,3492,-3.7412314886983635,5.560053981106613,-9.665047302480184,-1.1604868383809794
15,정선군,3090,2947,3115,2908,2760,-4.627831715210355,5.7007125890736345,-6.645264847512039,-5.089408528198074
16,철원군,4660,4573,4611,4126,4017,-1.8669527896995708,0.8309643560026241,-10.518325742788983,-2.641783809985458
17,태백시,3836,3595,3528,3260,3262,-6.282586027111575,-1.8636995827538245,-7.596371882086168,0.06134969325153375
18,평창군,3543,3450,3711,3614,3625,-2.6248941574936495,7.565217391304348,-2.6138507140932363,0.3043718871057
19,홍천군,5564,5307,5530,5692,5518,-4.618979151689432,4.20199736197475,2.9294755877034357,-3.056921995783556
20,화천군,4051,3770,3724,3281,3065,-6.936558874352011,-1.220159151193634,-11.895810955961332,-6.583358732093873
21,횡성군,3959,3812,3868,4033,3945,-3.713058853245769,1.4690451206715633,4.265770423991727,-2.1819985122737418
22,괴산군,3830,3974,3983,4344,4975,3.759791122715405,0.22647206844489182,9.063519959829275,14.525782688766114
23,단양군,2255,2234,2105,2244,2170,-0.9312638580931265,-5.774395702775291,6.603325415676959,-3.297682709447415
24,보은군,2473,2439,2463,2392,2423,-1.3748483623129801,0.984009840098401,-2.882663418595209,1.2959866220735785
25,영동군,4545,4423,4344,4349,4442,-2.684268426842684,-1.7861180194438164,0.11510128913443832,2.1384226258910095
26,옥천군,3305,3479,3462,3335,3474,5.264750378214826,-0.48864616269042827,-3.6683997689196994,4.1679160419790104
27,제천시,8510,8571,8809,8454,8844,0.7168037602820212,2.7768055069420137,-4.0299693495288915,4.613200851667849
28,공주시,8962,8973,8507,8251,9309,0.12274045971881276,-5.193357851331773,-3.0092864699659105,12.822688159011028
29,금산군,3996,4087,4020,3939,4128,2.2772772772772774,-1.639344262295082,-2.014925373134328,4.798172124904799
30,논산시,9375,9401,9487,9095,9759,0.2773333333333333,0.9147962982661418,-4.131970064298514,7.300714678394722
31,보령시,6889,6758,6469,6539,7062,-1.9015822325446363,-4.276413139982243,1.0820837842015767,7.998164857011776
32,부여군,4669,4470,4460,4247,4426,-4.262154636967231,-0.22371364653243847,-4.775784753363229,4.214739816340947
33,서천군,3775,3339,3609,3385,3635,-11.549668874172186,8.086253369272237,-6.206705458575783,7.385524372230429
34,예산군,6831,5409,5431,5499,6039,-20.816864295125164,0.4067295248659641,1.2520714417234395,9.819967266775777
35,청양군,2345,2563,3169,2825,2839,9.296375266524521,23.644166991806475,-10.855159356263806,0.49557522123893805
36,태안군,4918,4742,5262,4749,5048,-3.578690524603497,10.965837199493885,-9.74914481185861,6.296062328911351
37,고창군,6260,6301,6827,4621,4219,0.6549520766773163,8.347881288684336,-32.3128753478834,-8.69941571088509
38,김제시,6440,6129,6440,5820,6402,-4.829192546583851,5.074237232827541,-9.627329192546584,10.0
39,남원시,5152,4946,5111,5133,4893,-3.998447204968944,3.336029114435908,0.430444140090002,-4.67562828755114
40,무주군,1727,1645,1731,1674,1673,-4.748118123914303,5.227963525835866,-3.2928942807625647,-0.05973715651135006
41,부안군,4704,4683,4652,3927,3925,-0.4464285714285714,-0.661968823403801,-15.58469475494411,-0.05092946269416857
